op_in_bytes,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
169,125149184,125448192,188194816,123515011,82448384,20709376
170,125833216,125972480,189632512,124076163,82870272,20836352
171,126230528,126468096,190529536,124379267,83185664,20914176
172,126267392,126529536,190586880,124379267,83185664,20946944
173,126623744,126672896,190763008,125534339,83779584,21090304
174,127881216,127987712,192880640,126062723,84123648,21147648
175,128249856,128286720,193474560,126546051,84410368,21233664
176,128249856,128286720,193568768,126550147,84422656,21241856
177,128319488,128368640,193605632,127115395,84725760,21278720
178,129630208,129560576,195518464,127975555,85352448,21426176
179,130158592,130125824,196169728,128336003,85544960,21487616
180,130179072,130195456,196599808,128340099,85577728,21495808
181,130289664,130269184,196632576,128659587,85676032,21508096
182,131563520,131633152,198361088,129749123,86413312,21696512
183,131923968,132042752,198828032,130166915,86769664,21803008
184,131981312,132079616,199335936,130203779,86835200,21848064
185,132067328,132157440,199335936,130257027,86892544,21860352
186,133156864,133300224,201076736,131461251,87580672,22093824
187,133738496,133832704,201940992,131891331,87855104,22155264
188,133885952,134008832,202301440,131940483,87904256,22179840
189,133885952,134074368,202301440,132087939,87977984,22192128
190,135077888,135081984,203984896,133304451,88842240,22380544
191,135557120,135708672,204640256,133832835,89141248,22437888
192,135860224,136081408,205373440,133894275,89268224,22478848
193,135860224,136081408,205373440,133947523,89268224,22478848
194,136478720,136486912,205852672,135151747,90140672,22716416
195,137269248,137478144,207400960,135618691,90517504,22773760
196,137687040,138002432,208244736,135843971,90615808,22872064
197,137699328,138039296,208265216,135843971,90636288,22872064
198,137789440,138063872,208297984,137126019,91258880,22974464
199,138924032,139005952,209768448,137433219,91578368,23142400
200,139513856,139509760,210661376,137756803,91836416,23212032
201,139714560,139706368,211021824,137756803,91856896,23212032
202,139755520,139751424,211111936,138387587,92246016,23257088
203,141152256,140853248,212807680,139071619,92680192,23425024
204,141373440,141185024,213315584,139513987,92954624,23465984
205,141840384,141651968,214036480,139534467,92979200,23482368
206,141840384,141692928,214073344,139800707,93016064,23482368
207,143044608,142913536,215158784,140869763,93687808,23674880
208,143478784,143355904,216616960,141430915,94175232,23744512
209,143572992,143597568,217038848,141516931,94244864,23764992
210,143626240,143597568,217042944,141557891,94244864,23764992
211,144855040,144646144,218697728,143085699,95059968,24006656
212,145203200,145117184,219025408,143372419,95436800,24080384
213,145530880,145756160,220151808,143560835,95637504,24166400
214,145534976,145756160,220172288,143585411,95678464,24174592
215,145989632,146137088,220631040,144580739,96210944,24264704
216,147128320,147263488,222068736,144859267,96669696,24395776
217,147701760,147902464,223223808,145498243,97202176,24481792
218,147726336,147906560,223223808,145567875,97202176,24498176
219,148955136,148545536,223498240,145891459,97386496,24518656
220,149393408,149540864,225366016,147071107,98086912,24731648
221,149839872,150106112,226136064,147644547,98504704,24825856
222,149864448,150110208,226185216,147771523,98660352,24895488
223,149929984,150114304,226254848,147845251,98660352,24899584
224,151326720,151625728,228425728,149098627,99692544,25108480
225,151916544,152137728,229158912,149528707,99901440,25157632
226,151973888,152137728,229412864,149950595,100204544,25268224
227,151982080,152174592,229412864,149958787,100204544,25268224
228,153366528,153501696,231440384,150806659,100507648,25317376
229,153993216,154005504,232316928,151670915,101138432,25481216
230,154165248,154218496,232706048,152199299,101576704,25583616
231,154206208,154259456,232759296,152219779,101597184,25583616
232,155492352,155115520,234631168,152531075,101879808,25595904
233,155680768,155607040,234954752,153514115,102391808,25767936
234,156221440,156270592,235790336,154103939,102780928,25853952
235,156221440,156381184,235835392,154271875,102866944,25890816
