rxpck/s,node164,node165,node166
306,17577.0,9387.0,13998.0
307,5166.0,9913.0,10700.0
308,12601.0,4884.0,18241.0
309,17466.0,18639.0,13633.0
310,20911.0,11214.0,10019.0
311,15933.0,12583.0,8466.0
312,12448.0,25887.0,17119.0
313,16787.0,15579.0,10518.0
314,19290.0,14673.0,11728.0
315,7112.0,15138.0,17116.0
316,10455.0,4228.0,17442.0
317,14439.0,16502.0,18047.0
318,13840.0,14027.0,14339.0
319,17074.0,11306.0,13187.0
320,19261.0,11599.0,13888.0
321,17141.0,3190.0,14223.0
322,17126.7,4114.0,11579.0
323,14555.0,6262.0,19235.0
324,12719.0,6682.0,19509.0
325,12718.0,6993.0,13902.0
326,18440.0,5962.0,18332.0
327,18985.0,9880.0,20459.0
328,15503.0,12532.0,5204.0
329,15171.0,10805.9,14213.0
330,23315.0,7509.0,13338.0
331,15945.0,3916.0,13703.0
332,8953.0,7670.0,14537.0
333,16381.0,7530.0,16961.0
334,16080.0,13608.0,7101.0
335,23908.0,11928.0,7410.0
336,18030.0,14700.0,15316.0
337,19265.0,15686.0,14951.0
338,14115.0,10256.0,28978.0
339,9403.0,12704.0,5316.0
340,18546.0,14926.0,12941.0
341,19169.0,11178.0,14257.0
342,21535.0,15266.0,7034.0
343,16861.0,8445.0,12967.0
344,20835.0,8891.0,19358.0
345,21109.0,16432.0,13213.0
346,15996.0,7634.0,15428.0
347,20648.0,11646.0,18701.0
348,14976.0,9463.0,15022.0
349,13410.0,13616.0,6271.0
350,15053.0,10477.0,18211.0
351,21083.0,11597.0,6283.0
352,17686.0,3404.0,19153.0
353,15721.0,21460.0,9040.0
354,7249.0,16474.0,11182.0
355,12627.0,9163.0,16310.0
356,18714.0,18998.0,10212.0
357,16553.0,10329.0,6343.0
358,16418.0,8914.0,16614.0
359,13317.0,13226.0,15706.0
360,16045.0,4053.0,16204.0
361,14547.0,21234.0,16574.0
362,20418.0,10729.0,17820.0
363,17549.0,20189.0,12919.0
364,21339.0,17664.0,8705.0
365,8895.0,13735.0,14921.0
366,16023.0,19083.0,16023.0
367,14160.0,8202.0,12749.0
368,14634.0,9459.0,15767.0
369,21945.0,23594.0,20459.0
370,22904.0,10640.0,13956.0
371,15543.0,17814.0,10114.0
372,19171.0,14404.0,6860.0
373,11606.0,17866.0,16393.0
374,12335.0,8265.0,11991.0
375,15062.0,18122.0,13600.0
376,18130.0,6795.0,14608.0
377,17103.0,9525.0,15275.0
378,10348.0,17515.0,10354.0
379,17729.0,8922.0,16476.0
380,14127.0,16700.0,8289.0
381,12434.0,14496.0,10595.0
382,17461.0,19250.0,13692.0
383,18568.0,15425.0,15435.0
384,14726.0,11381.0,8768.0
385,17548.0,12855.0,11442.0
386,15286.0,16805.0,11492.0
387,18420.0,6873.0,12478.0
388,14888.0,14579.0,13285.0
389,18638.0,10944.0,13395.0
390,17573.0,10667.0,13535.0
391,5281.0,8505.0,10225.0
392,12774.0,4052.0,18409.0
393,17260.0,20072.0,14199.0
394,19688.0,11416.0,10441.0
395,1730.0,12647.0,8737.0
396,163.0,19729.0,5742.0
397,65.0,135.0,122.0
398,86.0,100.0,92.0
399,189.0,172.0,65.0
