%soft,node164,node165,node166
142,1.75,0.88,1.0
143,0.88,1.25,0.88
144,1.0,0.5,1.12
145,1.5,1.12,1.0
146,1.25,0.88,0.62
147,0.62,0.88,0.75
148,1.25,0.88,1.5
149,1.0,1.38,0.5
150,1.0,0.62,1.37
151,1.25,0.88,1.38
152,0.5,1.25,1.62
153,1.13,1.12,1.5
154,1.5,0.87,0.75
155,1.25,0.38,0.75
156,1.25,0.87,1.12
157,1.75,0.38,1.38
158,1.25,0.5,1.0
159,1.12,0.12,1.13
160,1.25,0.75,1.88
161,0.75,0.38,0.75
162,1.25,0.12,1.38
163,1.38,1.62,1.12
164,1.25,0.63,0.5
165,1.38,0.62,1.38
166,1.75,0.37,1.0
167,0.88,0.75,0.87
168,1.5,0.63,1.25
169,1.25,1.0,1.0
170,2.13,0.75,0.5
171,1.75,1.38,0.62
172,1.0,1.25,1.5
173,1.5,0.87,1.75
174,1.0,1.13,0.87
175,1.63,1.62,1.12
176,2.0,0.75,0.88
177,1.38,1.12,0.5
178,0.88,0.12,1.37
179,1.75,0.88,1.12
180,1.0,1.13,0.75
181,2.12,0.25,1.12
182,1.38,1.38,1.38
183,1.38,0.62,1.75
184,1.5,1.5,0.88
185,1.5,1.0,0.88
186,1.75,0.5,1.5
187,1.25,1.62,1.12
188,1.12,1.0,0.75
189,1.0,1.13,1.25
190,1.25,1.25,1.12
191,1.25,0.62,0.63
192,1.0,0.87,0.87
193,1.5,1.13,1.5
194,1.0,0.75,1.75
195,1.0,1.5,1.12
196,0.88,1.0,1.38
197,1.75,1.25,1.0
198,1.5,1.38,0.88
199,0.87,0.62,0.75
200,1.63,1.25,1.75
201,1.12,1.25,1.62
202,1.12,0.62,1.25
203,1.38,1.5,1.12
204,1.25,0.88,1.0
205,1.63,1.37,0.75
206,1.37,1.13,1.12
207,1.38,1.25,0.38
208,1.0,0.62,1.88
209,0.88,1.62,0.62
210,1.25,0.38,0.88
211,1.38,0.75,1.62
212,0.88,1.5,0.62
213,1.12,0.5,1.0
214,1.38,1.25,1.5
215,0.88,1.25,0.5
216,1.5,2.12,1.25
217,1.12,1.12,1.0
218,1.12,0.75,0.62
219,1.62,1.25,0.87
220,1.12,1.25,1.25
221,1.5,0.88,1.0
222,1.25,0.63,1.0
223,1.88,1.12,1.12
224,1.12,1.12,0.88
225,0.88,0.62,1.0
226,1.25,1.38,1.88
227,1.0,1.12,1.0
228,1.25,0.75,0.87
229,1.0,1.25,0.0
230,1.5,1.12,1.13
231,0.88,1.5,1.12
232,1.25,1.37,1.12
233,1.12,0.5,1.25
234,0.88,0.5,1.25
235,1.0,2.0,1.88
236,1.25,1.12,1.25
237,1.63,0.75,1.0
238,1.62,0.88,1.0
239,1.5,0.37,1.25
240,1.5,0.38,1.25
241,1.0,0.25,1.5
242,1.5,0.5,1.75
243,1.0,0.62,1.62
244,1.75,0.87,1.38
245,1.38,1.25,0.75
246,1.12,0.75,1.0
247,1.38,0.38,1.25
248,1.75,0.38,1.0
249,1.0,0.5,1.12
250,1.62,1.0,1.37
251,1.38,0.88,0.88
252,1.5,1.25,0.75
253,1.25,1.5,0.63
254,1.25,0.75,1.75
255,1.38,1.0,1.38
256,1.0,1.13,0.5
257,1.38,1.0,0.75
258,1.12,1.12,1.5
259,1.5,1.0,0.5
260,1.12,0.38,0.88
261,1.25,0.5,1.25
262,1.25,1.37,1.12
263,2.37,0.62,0.75
264,1.5,1.5,1.38
265,1.12,0.5,2.12
266,0.88,0.87,0.38
267,1.87,1.25,0.88
268,2.0,0.62,1.37
269,1.5,0.75,1.5
270,1.37,1.88,1.12
271,0.75,1.0,0.88
272,1.12,1.62,1.75
273,1.13,1.5,0.63
274,1.38,0.62,1.12
275,1.25,0.75,1.13
276,1.25,0.38,1.5
277,1.13,0.62,0.88
278,1.25,1.25,1.5
279,1.62,1.5,1.75
280,1.75,1.38,0.75
281,1.62,1.12,0.75
282,0.88,1.0,1.12
283,1.25,1.38,1.25
284,0.62,0.87,1.0
285,1.25,1.12,1.5
286,1.38,1.0,1.37
287,1.5,1.87,0.62
288,1.88,0.75,1.0
289,1.75,1.25,0.63
290,1.38,1.38,1.38
291,1.62,1.0,0.87
292,1.88,1.38,1.88
293,1.62,0.88,1.62
294,1.25,1.38,0.62
295,1.62,1.37,1.75
296,1.12,1.63,0.5
297,1.12,1.38,1.0
298,1.25,1.5,1.38
299,1.25,1.0,0.62
300,1.38,0.63,0.75
301,1.75,1.37,1.5
302,1.25,0.62,1.0
303,1.25,0.88,1.0
304,1.5,0.75,0.88
305,1.5,0.75,0.75
306,1.12,1.0,0.88
307,0.5,0.25,1.0
308,1.25,1.5,1.63
309,1.37,1.12,0.75
310,2.0,0.88,0.62
311,1.0,1.88,1.25
312,0.75,1.25,0.75
313,1.5,1.25,1.75
314,1.38,1.0,0.75
315,0.25,0.25,1.37
316,0.88,1.12,1.5
317,1.0,1.37,1.25
318,1.12,1.0,1.12
319,1.62,1.0,1.37
320,1.38,0.25,1.0
321,1.5,0.25,1.25
322,1.25,0.87,1.13
323,1.25,0.5,1.38
324,0.75,0.75,1.62
325,1.0,0.38,1.5
326,1.25,0.75,1.5
327,1.38,1.0,1.12
328,1.38,1.12,0.5
329,1.5,0.87,1.25
330,1.5,0.25,0.88
331,1.12,0.75,1.12
332,1.0,0.62,1.0
333,1.38,1.0,1.25
334,1.5,1.13,0.25
335,1.38,1.0,0.75
336,1.5,1.5,1.25
337,1.75,0.75,2.13
338,1.12,1.25,1.5
339,0.63,1.25,0.5
340,1.75,1.12,0.88
341,1.62,1.0,1.25
342,1.88,1.0,0.5
343,1.37,0.5,1.62
344,1.75,1.25,1.25
345,1.88,0.62,0.88
346,1.25,0.75,1.37
347,1.75,0.88,1.25
348,1.0,1.0,1.0
349,1.12,1.0,1.12
350,1.12,1.0,0.88
351,1.62,0.25,1.12
352,1.38,1.5,1.0
353,0.88,1.5,0.62
354,0.62,0.88,1.38
355,1.37,1.38,1.12
356,1.88,0.75,0.25
357,1.0,0.87,0.87
358,1.25,0.75,1.5
359,1.25,0.25,1.38
360,1.12,1.62,1.0
361,1.62,1.38,1.75
362,1.88,1.25,1.75
363,1.5,1.63,0.63
364,1.75,1.25,0.88
365,0.75,1.25,1.25
366,1.38,0.88,1.25
367,1.12,0.62,0.75
368,1.25,1.88,2.38
369,2.0,1.0,0.88
370,2.12,2.0,1.12
371,1.38,0.88,1.12
372,1.25,1.37,0.38
373,1.0,0.88,1.75
374,1.0,1.5,0.75
375,1.0,0.63,1.0
376,1.5,0.5,1.62
377,1.12,1.38,0.62
378,0.87,0.62,1.25
379,1.38,1.13,1.38
380,1.12,1.5,0.25
381,1.12,1.12,1.12
382,1.38,1.38,1.5
383,1.37,1.0,0.87
384,1.0,0.75,0.75
385,1.37,1.38,1.5
386,1.38,0.75,0.5
387,1.5,1.0,1.12
388,1.37,0.75,0.62
389,1.5,1.0,0.75
390,1.5,0.75,1.25
391,0.25,0.25,0.88
392,1.38,1.25,2.0
393,1.25,1.25,0.63
394,1.38,0.88,0.87
395,0.12,2.0,1.0
396,0.0,0.12,0.0
