queue_transaction_latency_avg,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
178,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
179,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1e-06
180,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
181,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06
182,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
183,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06
184,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
185,1e-06,0,0.0,1e-06,1e-06,1e-06,1e-06
186,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
187,1e-06,1e-06,1e-06,1e-06,0.0,1e-06,1e-06
188,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
189,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
190,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
191,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
192,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
193,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
194,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
195,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
196,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
197,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0
198,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1e-06
199,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
200,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
201,1e-06,1e-06,1e-06,0,1e-06,1e-06,1e-06
202,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
203,1e-06,0,1e-06,1e-06,0.0,1e-06,1e-06
204,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
205,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
206,1e-06,0,1e-06,1e-06,1e-06,0,1e-06
207,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
208,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
209,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
210,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
211,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
212,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
213,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
214,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06
215,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06
216,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
217,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
218,1e-06,1e-06,0,1e-06,1e-06,1e-06,1e-06
219,1e-06,0,1e-06,0.0,1e-06,1e-06,1e-06
220,0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06
221,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
222,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,1e-06
223,1e-06,0,1e-06,1e-06,0.0,1e-06,1e-06
224,0.0,1e-06,1e-06,0.0,0.0,0.0,1e-06
225,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
226,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
227,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
228,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06
229,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,1e-06
230,1e-06,1e-06,1e-06,1e-06,1e-06,2e-06,1e-06
231,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
232,0.0,1e-06,1e-06,1e-06,1e-06,0,1e-06
233,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
234,0,0.0,1e-06,1e-06,1e-06,1e-06,0.0
235,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
236,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
237,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1e-06
238,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
