subop_latency,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
116,2.196053,1.133837,1.523314
117,0.054162,0.040732,0.206356
118,0.087293,0.0748,0.071584
119,0.128293,0.106596,0.114307
120,1.883209,0,0
121,0.056196,0.421406,0.348389
122,0.085966,0.04089,0.035631
123,0.071833,0.05826,0.078806
124,0.175809,0.238168,0.096107
125,0,0,0
126,0.112943,0.134357,0.077484
127,0.086364,0.113402,0.066978
128,0.129191,0.091797,0.136851
129,1.241497,0,0
130,0.112807,0.412706,0.273108
131,0.060632,0.058291,0.052209
132,0.093566,0.124964,0.110946
133,0.274467,0,0
134,0.297361,0.937081,1.848645
135,0.049267,0.045511,0.060498
136,0.074187,0.078895,0.106528
137,0.665901,0.392606,0
138,0.863684,0.542759,2.009829
139,0.039475,0.037063,0.032314
140,0.058657,0.077186,0.073316
141,0.171886,0.053213,0.09349
142,1.616277,1.671553,0
143,0.078763,0.060533,0.102624
144,0.071365,0.052041,0.041313
145,0.085266,0.094388,0.09143
146,0.497376,0.71132,0.453734
147,0.235416,1.584798,0.158005
148,0.041196,0.042729,0.032296
149,0.086931,0.110771,0.13498
150,0.108994,0.145285,0.277725
151,1.714303,1.004365,0.885984
152,0.047429,0.058215,0.060616
153,0.101983,0.128821,0.133837
154,0.427611,0.183349,0.079165
155,0,1.178436,1.693311
156,0.046542,0.04553,0.040004
157,0.134895,0.138047,0.13829
158,0.106205,0.113242,0.092717
159,1.794101,1.880687,1.759177
160,0.079113,0.077635,0.100872
161,0.0912,0.06202,0.038231
162,0.167076,0.076026,0.105337
163,0,1.252876,0
164,0.318934,0.441575,0.854923
165,0.057729,0.042958,0.042868
166,0.109006,0.13347,0.087212
167,1.04238,1.047226,0.62684
168,0.064723,0.060503,0.120503
169,0.052791,0.057559,0.028659
170,0.13391,0.103033,0.103683
171,0.401422,0.378275,0.169016
172,0.435739,0.286916,1.219938
173,0.042332,0.048675,0.043511
174,0.128824,0.137652,0.152896
175,0,0,0.367477
176,2.357499,0.961334,1.31554
177,0.04676,0.040373,0.04969
178,0.09666,0.124328,0.115188
179,0.291139,0.133127,0.159915
180,0.749135,1.105682,1.536812
181,0.041712,0.033756,0.050707
182,0.114674,0.082068,0.102524
183,0.570053,0.123244,0.144459
184,1.45029,1.248283,0
185,0.042924,0.035714,0.184775
186,0.077797,0.105607,0.075279
187,0.097662,0.081221,0.10232
188,0,0.914654,0
189,0.143634,0.03461,0.15837
190,0.098488,0.050568,0.069708
191,0.125768,0.131039,0.122387
192,0,0,0
193,0.06654,0.306152,0.044756
194,0.056734,0.038731,0.041195
195,0.089243,0.087543,0.098517
196,0.154775,1.099984,0.6046
197,0.777999,0.590302,1.293519
198,0.04586,0.030884,0.059752
199,0.073318,0.080144,0.068062
200,0.320114,0.157961,0.092956
201,1.265762,0.844069,1.896103
202,0.061943,0.06113,0.041969
203,0.128418,0.106977,0.06794
204,0.098053,0.127185,0.070295
205,1.681265,0.342911,0.24586
206,0.050415,0.069699,0.074876
207,0.10299,0.098539,0.063468
208,0.262356,0.231834,0.144098
209,0.819676,0.802809,1.62579
210,0.059039,0.064627,0.030819
211,0.102888,0.188681,0.254494
212,0.080357,0.066951,0.094305
213,0,0,0
214,0.29726,0.467288,0.595701
215,0.050574,0.047179,0.045232
216,0.129491,0.07113,0.086779
217,1.261885,0.630538,0
218,0.067016,0.07381,0.827965
219,0.128607,0.073687,0.036853
220,0.112769,0.087406,0.061638
221,0,0,0.226502
222,1.784898,0,1.61987
223,0.04398,0.1279,0.059235
224,0.111468,0.074348,0.126735
225,0.958519,0,0.063435
226,1.165144,1.308207,0
227,0.035704,0.042104,0.115399
228,0.118104,0.113022,0.070561
229,0.260191,0.161146,0.134633
230,1.449926,0,0.335862
231,0.048634,0.055027,0.048113
232,0.255966,0.054404,0.148163
233,0.082502,0.206773,0.066968
234,0,0,0
235,0.114743,0.113869,0.106993
236,0.077703,0.054329,0.063559
237,0.12021,0.085262,0.089794
238,1.525052,1.539214,0
239,0.041204,0.035369,0.115989
240,0.086077,0.096177,0.12297
241,0.110862,0.083193,0.085371
242,0,0,0.18994
243,0.119865,0.282424,1.611136
244,0.068981,0.040163,0.036704
245,0.120828,0.065803,0.089766
246,0,0,0.30508
247,0,2.343983,0
248,0.147722,0.059031,0.056406
249,0.097859,0.137399,0.115394
250,0.585158,0.055499,0.075914
251,0.903302,2.114355,0
252,0.036097,0.039541,0.10163
253,0.095224,0.077693,0.089597
254,0.430427,0.126897,0.130747
255,0,1.216936,1.225374
256,0.052173,0.038073,0.043684
257,0.059754,0.079943,0.048348
258,0.086147,0.104226,0.102473
259,1.293311,0,0.114779
260,0.065865,0.113515,0.311325
261,0.064433,0.052827,0.042951
262,0.215506,0.12877,0.160296
263,0.151141,0.103567,0.124514
264,0.062914,1.568053,1.437312
265,0.077881,0.05211,0.042362
266,0.087337,0.071644,0.11434
267,0.719347,0.15492,0.156411
268,0.03416,0.211927,0.457263
269,0.052138,0.059646,0.048523
270,0.07755,0.077139,0.09907
271,0.153538,0.328462,0.08449
272,1.284609,1.279321,2.013472
273,0.030536,0.039901,0.040904
274,0.182169,0.097139,0.107175
275,0.131239,0.189175,0.080326
276,0,0.679843,1.218339
277,0.107524,0.046911,0.067464
278,0.118386,0.082188,0.092549
279,0.067785,0.226832,0.120665
280,1.215336,1.017835,2.124377
281,0.050386,0.028733,0.046413
282,0,0,0.01316
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,0
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,0
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0
308,0,0,0
309,0,0,0
310,Null,0,Null
