journal_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
125,0.018348,0.019239,0.009726,0,0.002919,0.017336,0.012902
126,0.019386,0.02255,0.009785,0,0.00387,0.009532,0.01378
127,0.018591,0.00783,0.020802,0.003526,0.00739,0.004554,0
128,0.012204,0.008167,0.013787,0.006032,0.005507,0.008671,0.014445
129,0.009835,0.018502,0.007841,0.007027,0.009007,0.002908,0.003318
130,0.016293,0.014312,0.012872,0.004993,0.018265,0.007307,0.012976
131,0.015317,0.00561,0.018553,0.003347,0.004295,0.010557,0.018583
132,0.019476,0.016831,0.008914,0.007803,0.019542,0.017599,0.020932
133,0.014389,0.008595,0.010327,0.004656,0.020636,0.014771,0.011641
134,0.013853,0.003236,0.024057,0.004754,0.009378,0.009826,0.016386
135,0.012521,0.008887,0.022757,0.010288,0.009736,0.009489,0.017082
136,0.008234,0,0.015803,0.011023,0.008631,0,0.003254
137,0.003448,0.0187,0.00835,0.008574,0.010674,0.014097,0.009619
138,0.008341,0.017071,0.006599,0.003152,0.003284,0.018548,0.009892
139,0.023421,0,0.019906,0.012249,0.008068,0.007955,0.005848
140,0.004074,0.009745,0.018464,0.022473,0.00897,0.00859,0.004617
141,0.015362,0.012975,0.017293,0.009365,0.014927,0.018143,0.017615
142,0.020786,0.020806,0.015165,0.004967,0.007568,0.019077,0.01098
143,0.018992,0.013616,0.015201,0.007384,0.005168,0.005116,0.009405
144,0.012763,0.016973,0.011854,0.005128,0.003262,0.011893,0.00714
145,0.006615,0,0.018634,0.019786,0.008595,0.010508,0.017284
146,0.015992,0.013246,0.019773,0.006613,0.008492,0.005609,0.00423
147,0.020478,0,0.012539,0.009238,0.004876,0.002398,0.003712
148,0.024026,0.00442,0.010121,0.003941,0.013698,0.010444,0.005616
149,0.008238,0.019534,0.019232,0.004147,0.01408,0.009613,0.015841
150,0.006629,0.014082,0.019429,0.006901,0.004006,0.004239,0.003382
151,0.017288,0.016218,0.014472,0.007267,0.010996,0.004463,0.006599
152,0.008809,0.023728,0.00724,0.008486,0.007191,0.005274,0.004372
153,0.016804,0.008752,0.015314,0.004803,0.006022,0.012555,0.015443
154,0.004789,0.016452,0.003826,0.008491,0.015681,0.003277,0.002977
155,0.013078,0,0.01031,0.005225,0.007401,0.006809,0.005533
156,0.004523,0.022748,0.010134,0.003461,0.003338,0.008863,0.00496
157,0.006529,0.014676,0.0055,0.005431,0.004827,0.011553,0.007378
158,0.016994,0.015763,0.011911,0.005283,0.009771,0.003196,0.004092
159,0.017724,0,0.012987,0.008243,0.006877,0.005583,0.007288
160,0.016861,0.015292,0,0.007003,0.003786,0.009095,0.017124
161,0.030585,0.025496,0.014147,0.006629,0.009673,0.013202,0.005734
162,0.005711,0.017182,0.014948,0.005619,0.005535,0.00669,0
163,0.00564,0.017121,0.010709,0.016577,0.014209,0.01176,0.011054
164,0.008833,0.014931,0.013391,0.003756,0.003917,0.003575,0.008764
165,0.010488,0.020074,0.008425,0.003924,0.005839,0.006841,0.005237
166,0.021481,0.005657,0.011304,0.007816,0.007888,0.011442,0.007188
167,0.007206,0.008206,0.007711,0.007499,0.011424,0.010498,0.007948
168,0.009541,0.011405,0.012695,0.012499,0.010366,0.012503,0.009464
169,0.021778,0.013624,0.013255,0.003216,0.005661,0.008138,0.006944
170,0.025993,0.00946,0.012201,0.006564,0.010068,0.009853,0.015729
171,0.017761,0.017963,0.008982,0.004779,0.009864,0.018621,0.015103
172,0.00618,0.019295,0.006944,0.023449,0.009558,0.004313,0.004798
173,0.021288,0.02139,0.011884,0.009639,0.01023,0.008686,0.006637
174,0.012224,0.013123,0.014281,0.003358,0.003582,0.006703,0.003076
175,0.01782,0.018671,0.015376,0.007144,0.013793,0.008304,0.009769
176,0.016511,0.008887,0.008792,0.007842,0.012804,0.013211,0.014387
177,0.012713,0.01564,0.015309,0.003315,0.00736,0.00717,0.013877
178,0.010133,0.021498,0.024964,0.00387,0.003209,0.010544,0.012917
179,0.014334,0,0.020436,0.004994,0.004622,0.010789,0.010987
180,0.008676,0.01058,0.009506,0.00806,0.006295,0.004188,0.006737
181,0.006496,0.012717,0.00709,0.005423,0,0.00944,0.013944
182,0.014305,0.010353,0.019979,0.003124,0.007709,0.009513,0.012838
183,0.010506,0.009984,0.014909,0.002878,0,0.009426,0.007554
184,0,0.012336,0.007178,0.002841,0.004303,0.0118,0.008685
185,0.009475,0,0.003424,0.008967,0.007778,0.008276,0.0047
186,0.008362,0.015554,0.014118,0.009409,0.017984,0.006082,0.007775
187,0.01208,0.020279,0.027092,0.005975,0.011856,0.006402,0.015558
188,0.010282,0.016323,0.019689,0.00362,0.007313,0.010863,0.009972
189,0.022247,0.009241,0.010695,0.004853,0.004339,0.006383,0.010678
190,0.008163,0.003853,0.019111,0.009629,0.005239,0.007199,0.006189
191,0.023527,0.022706,0.023312,0.007492,0.009313,0.012937,0.008517
192,0.014982,0.020427,0.022258,0.004239,0.003212,0.01245,0.013833
193,0.013306,0.009041,0.020292,0.006885,0.011605,0.009817,0.003688
194,0.017316,0.017112,0.015206,0.004999,0.009951,0.006945,0.00758
195,0.020815,0.023815,0.01502,0.018066,0.006792,0.015508,0.014263
196,0.015623,0.013433,0.013878,0.011256,0.00908,0.008316,0.020149
197,0.010247,0.00644,0.006109,0.003995,0.003344,0.003702,0
198,0.010476,0.01541,0.013758,0.007068,0.007367,0.007427,0.008822
199,0.004547,0.01909,0.010898,0.003811,0.003112,0.004916,0.016157
200,0.022257,0.015117,0.031167,0.007411,0.009118,0.010912,0.006674
201,0.014198,0.01366,0.021227,0,0.003516,0.00798,0.005124
202,0.012623,0.004498,0.008109,0.004343,0.005115,0.005799,0.005952
203,0.007657,0,0.008706,0.00504,0.043693,0.006588,0.015332
204,0.010293,0.021334,0.024232,0.006831,0.006855,0.004979,0.019674
205,0.014286,0.014803,0.008832,0.006141,0.005878,0.011212,0.003376
206,0.019741,0,0.013394,0.003762,0.004623,0,0.003449
207,0.012567,0.005927,0.003559,0.008267,0.0117,0.028183,0.005914
208,0.023351,0.023309,0.02364,0.015481,0.007602,0.016922,0.012566
209,0.023151,0.021049,0.014457,0.004173,0.006699,0.003221,0.004486
210,0.020953,0.019557,0.011505,0.004302,0.004765,0.018318,0.008196
211,0.016643,0.003857,0.005621,0.00299,0.003236,0.005045,0.003885
212,0.012328,0.025292,0.012293,0.004284,0.005466,0.013666,0.014035
