w/s,node164,node165,node166
304,149.0,221.5,181.0
305,204.333,125.5,201.0
306,178.667,107.0,266.0
307,89.6667,233.5,160.5
308,121.667,275.5,330.5
309,175.667,184.5,172.0
310,170.0,353.0,178.5
311,181.0,294.0,166.5
312,152.667,242.0,265.5
313,163.333,294.0,152.5
314,225.333,96.5,210.5
315,90.6667,167.0,238.0
316,75.6667,281.0,288.5
317,178.333,184.0,308.0
318,145.333,162.0,237.0
319,197.0,127.0,226.5
320,193.333,59.5,224.0
321,200.667,121.5,242.0
322,177.667,62.0,181.0
323,178.0,164.0,294.0
324,138.333,134.0,302.5
325,149.667,61.5,240.5
326,210.0,250.5,295.0
327,181.667,223.0,328.5
328,171.333,184.5,56.0
329,164.667,52.5,237.5
330,234.333,152.5,228.5
331,176.667,154.0,252.5
332,91.3333,170.5,226.5
333,174.333,202.5,286.5
334,173.667,135.0,116.5
335,232.667,368.5,147.0
336,189.333,78.0,255.0
337,205.667,254.5,236.0
338,161.333,246.5,448.5
339,99.6667,213.0,88.5
340,191.333,176.5,231.5
341,204.667,282.67,221.5
342,214.333,43.0,108.5
343,223.0,260.5,242.5
344,169.0,227.5,293.0
345,195.0,217.5,242.0
346,156.333,225.5,253.0
347,225.667,124.5,285.5
348,174.333,238.5,241.0
349,116.667,159.0,108.0
350,181.0,138.5,299.0
351,223.333,174.5,102.5
352,214.0,314.5,319.5
353,156.667,211.5,135.0
354,88.0,240.0,190.0
355,120.333,250.5,272.0
356,203.333,162.5,171.5
357,196.333,187.5,112.375
358,130.333,136.0,254.5
359,138.333,161.0,270.5
360,172.667,271.0,266.0
361,152.667,238.0,242.0
362,211.333,388.5,295.5
363,194.667,193.0,186.0
364,202.667,290.0,153.5
365,126.0,233.5,260.5
366,145.0,149.0,254.5
367,158.0,280.5,224.5
368,164.0,254.0,237.0
369,211.667,341.5,309.5
370,219.0,136.5,226.5
371,136.0,279.0,164.5
372,203.333,208.5,126.5
373,174.667,260.5,253.5
374,78.3333,270.0,182.5
375,183.333,110.5,233.5
376,210.0,245.5,249.0
377,140.333,208.0,282.5
378,188.333,175.0,176.5
379,134.0,334.0,246.5
380,160.0,183.5,141.0
381,105.333,317.5,164.0
382,192.0,183.5,193.5
383,228.0,213.0,270.5
384,163.667,250.5,148.5
385,207.0,251.5,184.0
386,180.667,158.0,199.5
387,179.0,175.0,202.0
388,153.0,226.0,220.0
389,197.333,146.0,237.5
390,196.333,113.0,219.0
391,116.333,176.5,184.5
392,94.3333,304.0,285.0
393,174.333,174.5,239.5
394,167.667,334.0,169.5
395,103.0,174.5,136.5
396,0.0,0.0,100.0
397,0.0,0.0,0.0
398,0.0,0.0,0.0
399,0.0,0.0,0.0
