wMB/s,node164,node165,node166
338,4.0,10.975,12.58
339,12.1267,4.0,10.925
340,8.88,2.0,2.845
341,3.63667,9.9,6.97
342,4.87,8.905,10.37
343,7.61,10.225,11.56
344,7.79333,7.71,13.48
345,17.64,6.0,4.055
346,3.58333,7.57,6.315
347,4.0,1.025,9.02
348,2.66667,14.93,15.96
349,6.37333,6.37,2.0
350,18.7533,2.0,9.42
351,0.4,6.0,3.095
352,7.16,8.78,10.055
353,1.52333,13.58,9.755
354,4.0,10.095,2.0
355,13.9867,1.22,15.295
356,4.67333,8.0,3.845
357,2.66667,4.0,1.98
358,3.15667,14.91,14.195
359,6.22667,10.005,4.0
360,9.72,5.36,15.28
361,12.5867,2.705,0.94
362,0.0,17.25,11.065
363,7.0,17.025,11.2
364,5.33333,4.95,12.57
365,4.0,9.705,6.0
366,18.6767,3.16,9.77
367,0.0,11.405,2.16
368,3.75333,6.0,9.065
369,5.74667,16.665,21.11
370,10.4633,9.565,2.47
371,18.2067,6.0,13.665
372,3.09,8.0,3.005
373,4.0,11.885,10.0
374,2.66667,12.115,12.555
375,5.33333,8.84,0.0
376,9.71,4.52,12.26
377,11.47,2.47,8.0
378,3.07,7.255,6.77
379,3.25667,18.415,13.515
380,5.33333,9.05,6.28
381,5.33333,2.785,12.45
382,18.97,11.275,2.845
383,0.0,7.51,3.375
384,4.0,16.925,4.0
385,6.1,5.845,12.765
386,6.66667,8.62,4.16
387,19.6367,2.31,8.43
388,0.606667,9.315,6.625
389,1.33333,4.0,9.225
390,4.61667,7.525,15.51
391,4.79333,9.275,3.57
392,9.85,4.52,12.525
393,8.66667,6.0,4.75
394,1.04,11.095,5.25
395,2.96,16.445,14.37
396,0.0,8.685,2.0
397,5.44667,0.0,6.795
398,6.7,0.0,0.0
399,0.0,0.0,0.0
