stat_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
26,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
27,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
28,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
29,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
30,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
31,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
32,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
33,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
34,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
35,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
36,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
37,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
38,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
39,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
40,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
41,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
42,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
43,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
44,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
45,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
46,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
47,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
48,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
49,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
50,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
51,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
52,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
53,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
54,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
55,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
56,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
57,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
58,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
59,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
60,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
61,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
62,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
63,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
64,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
65,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
66,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
