op_rw_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
210,0,0,0,0,0.000356,0,0
211,0,0,0,0,0,0.000337,0
212,0.000432,0,0.000337,0,0,0,0
213,0.000388,0,0,0,0,0,0
214,0,0,0,0,0,0,0
215,0,0,0,0,0.000353,0.000245,0
216,0.000727,0,0.00032,0,0,0,0
217,0.000396,0,0,0,0,0,0
218,0,0,0,0,0,0,0
219,0,0,0,0,0.000421,0.000428,0
220,0,0,0.000371,0,0,0,0
221,0.000396,0,0,0,0,0,0
222,0.000338,0,0,0,0,0,0
223,0,0,0,0,0.000423,0,0
224,0,0,0.000476,0,0,0.000331,0
225,0.00039,0,0,0,0,0,0
226,0.000319,0,0,0,0,0,0
227,0,0,0,0,0,0,0
228,0,0,0,0,0.000509,0.000802,0
229,0.000338,0,0.000378,0,0,0,0
230,0.000446,0,0,0,0,0,0
231,0,0,0,0,0,0,0
232,0,0,0,0,0.000366,0.000434,0
233,0.000324,0,0.000454,0,0,0,0
234,0.00037,0,0,0,0,0,0
235,0,0,0,0,0,0,0
236,0,0,0,0,0.000505,0,0
237,0.00063,0,0.000429,0,0,0.000372,0
238,0.000369,0,0,0,0,0,0
239,0,0,0,0,0,0,0
240,0,0,0,0,0.000515,0,0
241,0.000331,0,0.001303,0,0,0.000407,0
242,0.00033,0,0,0,0,0,0
243,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0
245,0.00041,0,0.000378,0,0.000318,0.000351,0
246,0.00056,0,0,0,0,0,0
247,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0
249,0.000485,0,0.000438,0,0.000409,0,0
250,0.00034,0,0,0,0,0.000335,0
251,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0
253,0.000471,0,0.000345,0,0.000501,0,0
254,0.000479,0,0,0,0,0.000433,0
255,0,0,0,0,0,0,0
256,0,0,0,0,0,0,0
257,0,0,0.000316,0,0,0,0
258,0.000399,0,0,0,0.000383,0.000387,0
259,0.000496,0,0,0,0,0,0
260,0,0,0,0,0,0,0
261,0,0,0.000467,0,0,0,0
262,0.000348,0,0,0,0.000334,0,0
263,0.000344,0,0,0,0,0.000269,0
264,0,0,0,0,0,0,0
265,0,0,0.000391,0,0,0,0
266,0.000396,0,0,0,0.00079,0,0
267,0.000349,0,0,0,0,0.000354,0
268,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0
270,0.000379,0,0.000411,0,0,0,0
271,0.000279,0,0,0,0.000418,0.000612,0
272,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0
274,0.000364,0,0.000289,0,0,0,0
275,0.000341,0,0,0,0.000405,0,0
276,0,0,0,0,0,0.000436,0
277,0,0,0,0,0,0,0
278,0.000463,0,0.00032,0,0,0,0
279,0.000451,0,0,0,0.000374,0,0
280,0,0,0,0,0,0.00042,0
281,0,0,0,0,0,0,0
282,0.000514,0,0.00114,0,0,0,0
283,0.000532,0,0,0,0.000569,0,0
284,0,0,0,0,0,0.000397,0
285,0,0,0,0,0,0,0
286,0.001421,0,0.000311,0,0,0,0
287,0.000332,0,0,0,0,0,0
288,0,0,0,0,0.00038,0,0
289,0,0,0,0,0,0.000432,0
290,0,0,0.000433,0,0,0,0
291,0.000376,0,0,0,0,0,0
292,0,0,0,0,0.000442,0,0
293,0,0,0,0,0,0.000339,0
294,0,0,0.000396,0,0,0,0
295,0.000294,0,0,0,0,0,0
296,0.000382,0,0,0,0.000358,0,0
297,0,0,0,0,0,0.00031,0
298,0,0,0.000508,0,0,0,0
299,0.000385,0,0,0,0,0,0
300,0.000369,0,0,0,0,0,0
301,0,0,0,0,0.000437,0.0005,0
302,0,0,0.000662,0,0,0,0
303,0.000384,0,0,0,0,0,0
304,0.000647,0,0,0,0,0,0
305,0,0,0,0,0.000347,0,0
306,0,0,0,0,0,0.000348,0
307,0.000324,0,0.00043,0,0,0,0
308,0.000639,0,0,0,0,0,0
309,0,0,0,0,0.00032,0,0
310,0,0,0,0,0,0.000351,0
