kbinact,node164,node165,node166
109,1012532.0,1027008.0,1039516.0
110,1013784.0,1041236.0,1032856.0
111,1009892.0,1034468.0,1043696.0
112,999684.0,1035848.0,1034080.0
113,998004.0,1034232.0,1035900.0
114,1002208.0,1037316.0,1044444.0
115,999784.0,1037280.0,1051552.0
116,1002016.0,1036848.0,1051772.0
117,1000360.0,1034292.0,1036084.0
118,999300.0,1030228.0,1042280.0
119,1001872.0,1033032.0,1034520.0
120,999032.0,1052168.0,1036180.0
121,1007400.0,1033160.0,1042404.0
122,1017992.0,1026468.0,1042124.0
123,997868.0,1027892.0,1037072.0
124,1001444.0,1030164.0,1037452.0
125,1003680.0,1037484.0,1027572.0
126,1006528.0,1034892.0,1035016.0
127,1009928.0,1029264.0,1037000.0
128,1021164.0,1030256.0,1041848.0
129,1022488.0,1035144.0,1047156.0
130,1021980.0,1020696.0,1046032.0
131,1029268.0,1028836.0,1038992.0
132,1007152.0,1036312.0,1039040.0
133,1010948.0,1033708.0,1028808.0
134,1018828.0,1031008.0,1036988.0
135,1015588.0,1020220.0,1043180.0
136,1024824.0,1021580.0,1033880.0
137,1031296.0,1027256.0,1030864.0
138,1011688.0,1028300.0,1042664.0
139,1008984.0,1027016.0,1042552.0
140,1015184.0,1034900.0,1053948.0
141,1011508.0,1045808.0,1035856.0
142,1006852.0,1043156.0,1042336.0
143,1008484.0,1043744.0,1045644.0
144,1006520.0,1043100.0,1044268.0
145,1002108.0,1042184.0,1044736.0
146,1015864.0,1045176.0,1049660.0
147,1025288.0,1041688.0,1043848.0
148,1023612.0,1028552.0,1045340.0
149,1012048.0,1033476.0,1039168.0
150,1021360.0,1037660.0,1038792.0
151,1026148.0,1035340.0,1056224.0
152,1028280.0,1035208.0,1041848.0
153,1034420.0,1033108.0,1048148.0
154,1014196.0,1030748.0,1047940.0
155,1009760.0,1032464.0,1051572.0
156,1024808.0,1031616.0,1058272.0
157,1025800.0,1033288.0,1051936.0
158,1025116.0,1033840.0,1050268.0
159,1038204.0,1034304.0,1058480.0
160,1024648.0,1035476.0,1048776.0
161,1031368.0,1042804.0,1057080.0
162,1031892.0,1048464.0,1051620.0
163,1026800.0,1043580.0,1043768.0
164,1011100.0,1035216.0,1050316.0
165,1020960.0,1032264.0,1057516.0
166,1012208.0,1034188.0,1055976.0
167,1009000.0,1038996.0,1051584.0
168,1008988.0,1049060.0,1044456.0
169,1016956.0,1033648.0,1059028.0
170,1008280.0,1028100.0,1051488.0
171,1014248.0,1025372.0,1055256.0
172,1028784.0,1030468.0,1048848.0
173,1028444.0,1032360.0,1049792.0
174,1025248.0,1025220.0,1064664.0
175,1019944.0,1029576.0,1056648.0
176,1015188.0,1037188.0,1051072.0
177,1025648.0,1049864.0,1059872.0
178,1031964.0,1048508.0,1052568.0
179,1030508.0,1049544.0,1049664.0
180,1016644.0,1057060.0,1052640.0
181,1019364.0,1047988.0,1048452.0
182,1024968.0,1039056.0,1053780.0
183,1022884.0,1045152.0,1061264.0
184,1034912.0,1040808.0,1059388.0
185,1043260.0,1034240.0,1062392.0
186,1023404.0,1035036.0,1046800.0
187,1017268.0,1048392.0,1050180.0
188,1021060.0,1043940.0,1050672.0
