loadavg,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
312,1258,1258,1258,1159,1159,1264,1264
313,1253,1258,1253,1202,1159,1264,1264
314,1253,1253,1253,1202,1159,1264,1264
315,1253,1253,1253,1202,1202,1267,1264
316,1253,1253,1253,1202,1202,1267,1264
317,1253,1265,1253,1202,1202,1267,1267
318,1253,1265,1253,1202,1202,1267,1267
319,1253,1265,1253,1202,1202,1267,1261
320,1265,1276,1265,1202,1202,1267,1261
321,1265,1276,1265,1202,1202,1261,1261
322,1265,1276,1265,1210,1202,1261,1261
323,1265,1276,1276,1210,1202,1232,1261
324,1276,1276,1276,1210,1210,1232,1261
325,1276,1276,1276,1210,1210,1232,1232
326,1276,1278,1276,1210,1210,1232,1232
327,1276,1278,1278,1210,1210,1232,1232
328,1276,1278,1278,1210,1210,1232,1254
329,1295,1278,1278,1241,1241,1232,1254
330,1295,1295,1295,1241,1241,1232,1254
331,1295,1295,1295,1241,1241,1232,1254
332,1295,1295,1295,1214,1241,1241,1254
333,1344,1295,1295,1214,1214,1241,1241
334,1344,1344,1295,1214,1214,1241,1241
335,1344,1344,1295,1214,1214,1241,1241
336,1344,1344,1295,1214,1214,1222,1241
337,1344,1344,1316,1214,1189,1222,1241
338,1316,1316,1316,1214,1189,1222,1222
339,1316,1316,1316,1189,1189,1222,1222
340,1316,1316,1316,1189,1189,1222,1222
341,1316,1316,1316,1189,1182,1222,1222
342,1307,1307,1316,1189,1182,1228,1228
343,1307,1307,1307,1182,1182,1228,1228
344,1307,1307,1307,1182,1175,1228,1228
345,1307,1314,1307,1175,1175,1228,1228
346,1307,1314,1307,1175,1175,1228,1218
347,1314,1314,1307,1175,1175,1218,1218
348,1314,1314,1314,1175,1175,1218,1218
349,1314,1314,1314,1175,1161,1218,1218
350,1314,1305,1314,1175,1161,1193,1218
351,1305,1305,1314,1161,1161,1193,1193
352,1305,1305,1305,1161,1161,1193,1193
353,1305,1305,1305,1161,1161,1193,1193
354,1305,1305,1305,1161,1161,1193,1193
355,1305,1305,1305,1161,1164,1193,1193
356,1281,1281,1305,1164,1164,1193,1193
357,1281,1274,1281,1164,1164,1193,1217
358,1274,1274,1274,1191,1164,1224,1217
359,1274,1274,1274,1191,1164,1224,1217
360,1274,1274,1274,1191,1191,1224,1217
361,1274,1274,1274,1191,1192,1224,1217
362,1274,1274,1284,1191,1192,1230,1230
363,1274,1274,1284,1192,1192,1230,1230
364,1284,1274,1284,1192,1192,1230,1230
365,1284,1274,1284,1192,1192,1230,1230
366,1284,1334,1334,1192,1192,1230,1230
367,1284,1334,1334,1208,1208,1230,1230
368,1334,1334,1334,1208,1208,1230,1230
369,1363,1334,1334,1208,1240,1212,1230
370,1363,1363,1334,1208,1240,1212,1212
371,1363,1363,1363,1208,1240,1212,1227
372,1363,1363,1363,1240,1240,1212,1227
373,1363,1363,1363,1240,1240,1227,1227
374,1363,1363,1382,1240,1213,1227,1227
375,1382,1382,1382,1213,1213,1227,1200
376,1382,1382,1382,1213,1213,1227,1200
377,1382,1382,1382,1213,1213,1227,1200
378,1343,1382,1343,1213,1213,1200,1200
379,1343,1382,1343,1213,1213,1200,1200
380,1343,1343,1343,1213,1212,1192,1200
381,1343,1343,1343,1213,1212,1192,1192
382,1343,1343,1343,1195,1212,1192,1192
383,1348,1343,1348,1195,1212,1192,1192
384,1348,1343,1348,1195,1195,1185,1192
385,1348,1348,1348,1195,1195,1185,1192
386,1348,1348,1312,1195,1195,1185,1185
387,1348,1348,1312,1195,1179,1185,1185
388,1312,1348,1312,1195,1179,1185,1185
389,1312,1312,1312,1179,1179,1185,1162
390,1312,1295,1312,1179,1179,1185,1162
391,1312,1295,1295,1181,1179,1162,1162
392,1295,1295,1295,1181,1179,1162,1162
393,1295,1295,1295,1181,1181,1141,1162
394,1295,1279,1295,1181,1181,1141,1141
395,1295,1279,1295,1190,1181,1141,1141
396,1279,1279,1295,1190,1190,1141,1141
397,1279,1279,1295,1190,1190,1170,1141
398,1279,1289,1289,1190,1190,1170,1141
399,1279,1289,1289,1190,1190,1170,1170
400,1289,1289,1289,1159,1190,1170,1170
401,1289,1289,1289,1159,1159,1170,1170
402,1289,1289,1289,1159,1159,1170,1164
403,1289,1289,1289,1159,1159,1170,1164
404,1298,1289,1289,1162,1159,1170,1164
405,1298,1289,1298,1162,1159,1151,1164
406,1298,1298,1322,1162,1159,1151,1164
407,1298,1298,1322,1162,1159,1151,1151
408,1322,1322,1322,1162,1162,1151,1151
409,1322,1322,1322,1162,1157,1151,1151
410,1322,1322,1322,1157,1157,1151,1151
411,1322,1322,1312,1157,1157,1151,1151
412,1312,1322,1312,1157,1157,1151,1155
413,1312,1322,1312,1145,1157,1155,1155
414,1312,1312,1312,1145,1145,1155,1155
415,1312,1312,1312,1145,1145,1155,1151
416,1295,1295,1295,1145,1145,1155,1151
417,1295,1295,1295,1125,1145,1151,1151
418,1295,1295,1295,1125,1145,1151,1155
419,1295,1264,1295,1125,1125,1151,1155
420,1295,1264,1264,1125,1125,1151,1155
421,1264,1264,1264,1125,1125,1155,1155
422,1264,1264,1264,1131,1125,1155,1155
423,1264,1264,1264,1131,1125,1155,1155
424,1264,1251,1264,1131,1131,1155,1166
425,1251,1251,1264,1131,1131,1166,1166
426,1251,1251,1251,1131,1131,1166,1166
427,1231,1251,1231,1105,1105,1166,1166
428,1231,1231,1231,1105,1105,1166,1166
429,1231,1231,1231,1105,1105,1166,1145
430,1231,1231,1231,1104,1105,1145,1145
431,1231,1231,1231,1104,1105,1145,1145
432,1231,1228,1231,1104,1105,1145,1181
433,1228,1228,1231,1104,1104,1181,1181
434,1228,1228,1231,1104,1104,1181,1181
435,1228,1228,1228,1104,1104,1181,1181
436,1228,1228,1226,1120,1120,1181,1181
437,1226,1226,1226,1120,1120,1167,1167
438,1226,1226,1226,1120,1120,1167,1167
439,1226,1226,1226,1120,1120,1167,1167
440,1226,1226,1216,1126,1126,1145,1167
441,1226,1216,1216,1126,1126,1145,1167
442,1216,1216,1216,1126,1126,1145,1145
443,1191,1216,1216,1148,1126,1145,1145
444,1191,1216,1216,1148,1148,1145,1145
445,1191,1191,1216,1148,1148,1145,1150
446,1191,1191,1191,1148,1148,1145,1150
447,1191,1191,1191,1148,1148,1150,1150
448,1183,1183,1191,1160,1160,1150,1150
449,1183,1183,1191,1160,1160,1162,1162
450,1183,1183,1191,1160,1160,1162,1162
451,1183,1183,1183,1160,1160,1162,1162
452,1193,1193,1193,1160,1156,1162,1162
453,1193,1193,1193,1160,1156,1162,1162
454,1193,1193,1193,1160,1156,1157,1162
455,1193,1193,1193,1160,1156,1157,1157
456,1193,1193,1209,1167,1156,1157,1157
457,1209,1193,1209,1167,1167,1157,1152
458,1209,1209,1209,1167,1167,1157,1152
459,1209,1209,1209,1167,1167,1152,1152
460,1200,1209,1209,1167,1167,1152,1152
461,1200,1200,1200,1167,1154,1152,1152
462,1200,1200,1200,1167,1154,1152,1152
463,1200,1200,1200,1167,1154,1152,1152
464,1200,1208,1208,1154,1154,1152,1148
465,1208,1208,1208,1154,1157,1152,1148
466,1208,1208,1208,1154,1157,1136,1148
467,1208,1208,1208,1154,1157,1136,1136
468,1200,1200,1208,1157,1157,1136,1136
469,1200,1200,1200,1157,1145,1136,1136
470,1200,1200,1200,1157,1145,1117,1136
471,1200,1200,1200,1145,1145,1117,1136
472,1200,1200,1200,1145,1145,1117,1117
473,1200,1200,1200,1145,1145,1117,1117
474,1200,1200,1200,1145,1145,1117,1117
475,1200,1200,1200,1145,1145,1124,1124
476,1200,1200,1200,1145,1133,1124,1124
477,1200,1200,1200,1133,1133,1124,1124
478,1200,1192,1192,1133,1133,1124,1124
479,1192,1192,1192,1133,1133,1124,1130
480,1192,1192,1192,1131,1133,1124,1130
481,1192,1192,1192,1131,1131,1130,1130
482,1192,1192,1192,1131,1128,1130,1130
483,1168,1192,1168,1128,1128,1130,1130
484,1168,1155,1168,1128,1128,1120,1130
485,1168,1155,1168,1128,1128,1120,1120
486,1155,1155,1155,1128,1128,1120,1120
487,1155,1155,1155,1128,1128,1120,1102
488,1155,1155,1143,1102,1102,1120,1102
489,1143,1155,1143,1102,1102,1120,1102
490,1143,1143,1143,1102,1086,1102,1102
491,1143,1143,1143,1102,1086,1102,1102
492,1143,1115,1115,1086,1086,1102,1102
493,1115,1115,1115,1086,1086,1102,1102
494,1115,1115,1115,1086,1086,1102,1102
495,1115,1115,1115,1086,1087,1102,1102
496,1115,1115,1115,1086,1087,1086,1102
497,1034,1115,1034,1087,1087,1086,1102
498,1034,1034,1034,1087,1087,1086,1086
499,1034,1034,1034,1087,1072,1086,1087
500,1034,1034,1034,1072,1072,1087,1087
501,1034,1034,1034,1072,1072,1087,1087
502,975,1034,1034,1072,1072,1087,1087
503,975,1034,1034,1058,1072,1087,1087
504,975,975,975,1058,1058,1087,1087
505,975,975,975,1058,1058,1087,1087
506,975,975,975,1058,1058,1072,1072
507,975,975,975,1058,1058,1072,1072
508,975,975,905,1058,1077,1082,1072
509,975,975,905,1058,1077,1082,1072
510,905,905,905,1058,1077,1082,1072
511,905,905,905,1058,1077,1082,1082
512,833,905,905,1079,1077,1068,1082
513,833,905,905,1079,1079,1068,1082
514,833,833,833,1079,1079,1068,1082
515,833,833,833,1079,1079,1068,1082
516,Null,Null,833,1079,1079,1068,1054
517,Null,Null,Null,1079,1065,1054,1054
518,Null,Null,Null,1065,1065,1054,1054
519,Null,Null,Null,1065,1065,1054,1054
520,Null,Null,Null,1065,1065,1054,1054
521,Null,Null,Null,1065,1065,969,1054
522,Null,Null,Null,1065,980,969,969
523,Null,Null,Null,980,980,969,969
524,Null,Null,Null,980,980,969,969
525,Null,Null,Null,980,980,969,969
526,Null,Null,Null,980,917,969,969
527,Null,Null,Null,917,917,900,969
528,Null,Null,Null,917,917,900,900
529,Null,Null,Null,917,917,900,900
530,Null,Null,Null,917,917,900,900
531,Null,Null,Null,860,917,900,900
532,Null,Null,Null,860,860,900,900
533,Null,Null,Null,860,860,900,900
534,Null,Null,Null,860,860,836,836
535,Null,Null,Null,860,860,836,836
536,Null,Null,Null,791,860,836,836
537,Null,Null,Null,791,791,836,836
538,Null,Null,Null,791,791,836,836
539,Null,Null,Null,791,791,785,785
540,Null,Null,Null,791,791,785,785
