subop_w_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
434,0,0.010877,0,0.005258,0.007311,0.011668,0
435,0,0,0,0.01796,0.019679,0.00403,0.018404
436,0.005479,0,0,0.005389,0.011102,0.008561,0.007904
437,0,0,0,0.01234,0.007678,0.007697,0.005122
438,0,0,0,0.00455,0,0.005102,0.008473
439,0,0,0,0.015249,0.015579,0,0.004075
440,0,0,0,0.010126,0.020929,0,0.007572
441,0,0,0,0.004249,0,0.017418,0.018768
442,0,0,0,0.004715,0,0.011908,0.019668
443,0,0,0,0.008639,0.004341,0.010405,0.008798
444,0,0,0,0.011579,0.015508,0.012016,0.011292
445,0,0,0,0.016429,0.017526,0,0
446,0,0,0,0.020231,0.010712,0,0
447,0,0,0,0,0.006668,0.010777,0.005183
