journal_wr_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
127,40821.0,40512.0,41950.0,40871.0,46018.0,44447.0,0
128,40364.0,46129.0,44263.0,38923.0,42148.0,38772.0,37781.0
129,44862.0,40364.0,43074.0,39801.0,42933.0,39384.0,38119.0
130,45200.0,42095.0,41084.0,40583.0,47513.0,39725.0,39368.0
131,39853.0,44077.0,43308.0,41793.0,39154.0,39587.0,38420.0
132,39838.0,41441.0,48244.0,39265.0,44672.0,43056.0,37781.0
133,37774.0,40829.0,51031.0,40061.0,40023.0,42150.0,41223.0
134,45308.0,40022.0,41252.0,42757.0,41010.0,42767.0,44145.0
135,40587.0,44413.0,37721.0,41093.0,42380.0,40042.0,42075.0
136,40194.0,0,41635.0,39369.0,45337.0,0,39148.0
137,39660.0,38119.0,47068.0,42350.0,39091.0,40193.0,40960.0
138,49116.0,39720.0,40336.0,43603.0,39915.0,39389.0,40121.0
139,38922.0,36864.0,40989.0,39366.0,40046.0,38400.0,40652.0
140,42472.0,42173.0,39633.0,41065.0,40437.0,40789.0,38633.0
141,43448.0,43345.0,41012.0,37823.0,45814.0,38713.0,40554.0
142,41065.0,40735.0,41963.0,42726.0,40277.0,39415.0,40140.0
143,38068.0,41889.0,45564.0,47351.0,39490.0,49997.0,42999.0
144,40810.0,40455.0,41627.0,46318.0,38395.0,44854.0,43444.0
145,43091.0,0,39064.0,49410.0,46951.0,43759.0,39355.0
146,51400.0,41670.0,37186.0,43448.0,40985.0,42349.0,39355.0
147,39868.0,0,43948.0,41685.0,41652.0,36864.0,45040.0
148,40475.0,39192.0,44679.0,40033.0,38281.0,39520.0,46952.0
149,46981.0,40706.0,39796.0,41457.0,37514.0,37647.0,38407.0
150,46618.0,38522.0,40114.0,40672.0,42819.0,47683.0,38379.0
151,40347.0,38254.0,40594.0,39750.0,39631.0,41395.0,39030.0
152,41933.0,39877.0,39286.0,38129.0,40119.0,42002.0,48858.0
153,38053.0,45464.0,40052.0,45311.0,39662.0,45102.0,37779.0
154,43618.0,43369.0,38395.0,41906.0,38086.0,38280.0,39787.0
155,44850.0,0,39957.0,44133.0,46280.0,38209.0,39013.0
156,51256.0,41793.0,43137.0,39299.0,40022.0,40053.0,46994.0
157,40140.0,54914.0,45211.0,47667.0,44458.0,39054.0,43642.0
158,43814.0,40677.0,45619.0,38638.0,40399.0,40191.0,42933.0
159,39770.0,0,41034.0,40765.0,40832.0,44621.0,37647.0
160,38905.0,39873.0,0,39634.0,41023.0,38947.0,37781.0
161,36864.0,39636.0,40150.0,39323.0,39188.0,38193.0,47045.0
162,39289.0,37709.0,42256.0,40902.0,44621.0,42192.0,0
163,40354.0,38605.0,38437.0,39630.0,40867.0,41929.0,38709.0
164,46300.0,40348.0,38815.0,39318.0,44490.0,38529.0,45169.0
165,40659.0,41427.0,40099.0,41198.0,39686.0,42490.0,39669.0
166,39460.0,49173.0,49728.0,39525.0,39632.0,48160.0,45022.0
167,45524.0,38193.0,41793.0,40512.0,40133.0,43371.0,43889.0
168,39415.0,41936.0,39634.0,40115.0,44340.0,38392.0,39515.0
169,39225.0,40357.0,40712.0,38609.0,41117.0,39269.0,41850.0
170,38849.0,49911.0,43087.0,37561.0,37481.0,38755.0,40543.0
171,40725.0,39317.0,38969.0,40856.0,46360.0,41590.0,47499.0
172,43133.0,36864.0,39030.0,39755.0,44306.0,41095.0,37793.0
173,40100.0,38368.0,43182.0,43179.0,38233.0,39064.0,41144.0
174,42725.0,41235.0,39970.0,40615.0,45300.0,41952.0,39276.0
175,39589.0,38417.0,39212.0,38442.0,37799.0,39364.0,40067.0
176,40448.0,43366.0,40663.0,45516.0,42952.0,41757.0,42167.0
177,48162.0,42001.0,38777.0,39030.0,41677.0,38906.0,43202.0
178,38781.0,41771.0,38138.0,45762.0,41840.0,46819.0,42031.0
179,45524.0,36864.0,39539.0,40042.0,39836.0,40927.0,38966.0
180,45291.0,37659.0,38268.0,38114.0,43346.0,40261.0,40250.0
181,41824.0,40057.0,46103.0,40960.0,0,41427.0,40711.0
182,46271.0,45193.0,39464.0,38119.0,38086.0,38754.0,46502.0
183,42042.0,45056.0,39498.0,37893.0,0,38716.0,44393.0
184,0,39567.0,44486.0,37475.0,45663.0,40511.0,46324.0
185,40215.0,0,40256.0,44651.0,40022.0,37959.0,39598.0
186,40960.0,41609.0,40731.0,43459.0,40313.0,39898.0,40902.0
187,49267.0,39030.0,38779.0,42579.0,44373.0,39885.0,43189.0
188,45217.0,38582.0,37781.0,44137.0,37598.0,39344.0,40275.0
189,40022.0,39572.0,47237.0,51355.0,40448.0,43844.0,42125.0
190,45596.0,42535.0,37781.0,40960.0,40971.0,46708.0,39315.0
191,38177.0,40160.0,39683.0,43924.0,43448.0,41554.0,41161.0
192,45085.0,37417.0,39846.0,46230.0,41305.0,40070.0,44089.0
193,40704.0,41345.0,41104.0,43876.0,39614.0,39699.0,40039.0
194,38976.0,37846.0,41063.0,39737.0,39579.0,43170.0,39601.0
195,40175.0,44011.0,40869.0,39594.0,39866.0,40865.0,40928.0
196,40257.0,39476.0,41775.0,39686.0,40223.0,45719.0,47245.0
197,41014.0,41036.0,41546.0,47706.0,42578.0,43024.0,0
198,41750.0,39032.0,39489.0,39605.0,45877.0,40071.0,40022.0
199,47226.0,41381.0,44311.0,39692.0,41974.0,38296.0,42977.0
200,43484.0,39482.0,38116.0,43811.0,39605.0,48432.0,48206.0
201,42039.0,38710.0,38592.0,0,39686.0,39190.0,40722.0
202,38710.0,39468.0,42686.0,38886.0,38710.0,38247.0,37722.0
203,42819.0,0,40600.0,42166.0,39424.0,44704.0,39441.0
204,39431.0,38119.0,39557.0,42119.0,39684.0,48388.0,36864.0
205,38961.0,38395.0,50602.0,39048.0,41672.0,39030.0,38581.0
206,39141.0,0,42505.0,39258.0,39310.0,0,42799.0
207,39389.0,40865.0,40140.0,42546.0,41227.0,43308.0,47574.0
208,40364.0,39967.0,40531.0,39499.0,45095.0,40504.0,42187.0
209,39223.0,39125.0,43066.0,40026.0,40642.0,38996.0,38034.0
210,38673.0,43364.0,43490.0,39561.0,47400.0,40022.0,42930.0
211,39936.0,40677.0,42169.0,37768.0,39763.0,39888.0,39945.0
212,47235.0,40680.0,39523.0,44296.0,41463.0,40343.0,40790.0
213,40574.0,38502.0,40795.0,37368.0,38806.0,42430.0,40039.0
214,41583.0,0,43770.0,46231.0,38259.0,38482.0,44852.0
215,41246.0,0,46136.0,41539.0,41651.0,38413.0,38395.0
216,41813.0,41427.0,48274.0,40316.0,39822.0,42014.0,41582.0
217,48106.0,39338.0,47781.0,43262.0,37186.0,38395.0,42091.0
218,38844.0,46084.0,0,39065.0,39703.0,47863.0,39843.0
219,44795.0,0,44855.0,40369.0,38872.0,41984.0,38152.0
220,0,38568.0,41429.0,41036.0,38523.0,42916.0,41465.0
221,38512.0,40823.0,40347.0,40812.0,48661.0,42920.0,37830.0
222,42509.0,41003.0,40347.0,50361.0,44216.0,44891.0,41931.0
223,41296.0,0,47638.0,40007.0,46277.0,43164.0,42591.0
224,42933.0,39030.0,45667.0,41405.0,40554.0,44553.0,39044.0
225,41066.0,40736.0,42868.0,45216.0,37304.0,37514.0,38912.0
226,39338.0,39936.0,39232.0,39570.0,39469.0,42130.0,42811.0
227,42292.0,39720.0,41645.0,42687.0,44881.0,39355.0,40850.0
228,37647.0,39770.0,38624.0,38848.0,0,44864.0,45163.0
229,41793.0,43963.0,41251.0,44743.0,44294.0,40984.0,39071.0
230,39186.0,39720.0,41389.0,39623.0,39407.0,38562.0,44574.0
231,39053.0,38622.0,39172.0,42489.0,43449.0,40472.0,44682.0
232,40860.0,41415.0,48841.0,38847.0,39382.0,0,42058.0
233,40860.0,39594.0,43576.0,43308.0,44697.0,39355.0,39312.0
234,0,43808.0,40065.0,45802.0,41656.0,39048.0,38201.0
235,49712.0,41826.0,39376.0,40306.0,43873.0,43339.0,37186.0
236,44566.0,39148.0,40065.0,39853.0,38472.0,39210.0,39147.0
237,41793.0,38949.0,40796.0,40818.0,38034.0,38623.0,41678.0
238,38420.0,39847.0,39938.0,46195.0,45299.0,43602.0,40253.0
239,42776.0,40022.0,44689.0,37608.0,43872.0,45434.0,39858.0
240,41450.0,41427.0,44938.0,42131.0,38725.0,39414.0,38052.0
241,42170.0,38395.0,42427.0,42661.0,38424.0,46328.0,42582.0
242,37981.0,44306.0,42283.0,42339.0,42814.0,41410.0,44385.0
243,41215.0,0,40181.0,38960.0,42863.0,42981.0,39554.0
244,42470.0,40712.0,38082.0,40072.0,45008.0,37546.0,38936.0
245,0,42167.0,41354.0,40230.0,41999.0,39956.0,39657.0
246,44774.0,38684.0,40808.0,40683.0,39699.0,39867.0,38291.0
247,40185.0,39637.0,40960.0,39436.0,38570.0,39362.0,41184.0
248,48404.0,39088.0,39527.0,37499.0,39954.0,39477.0,45390.0
249,39713.0,44303.0,40353.0,41630.0,45265.0,42551.0,41894.0
250,39953.0,40519.0,45342.0,40379.0,38395.0,41792.0,46029.0
251,49160.0,44172.0,39714.0,39981.0,42337.0,39404.0,39686.0
252,44510.0,36910.0,42602.0,39739.0,40022.0,40332.0,41642.0
253,38710.0,39686.0,44542.0,37677.0,38365.0,41425.0,44241.0
254,39355.0,38197.0,43107.0,36969.0,36864.0,43008.0,42534.0
255,46179.0,38360.0,37347.0,46263.0,40130.0,42303.0,39603.0
256,44896.0,40114.0,41102.0,0,39376.0,50227.0,40741.0
257,42217.0,43735.0,41005.0,47109.0,40082.0,39621.0,39633.0
258,43073.0,38667.0,39714.0,40697.0,0,38763.0,38912.0
259,40294.0,37739.0,43568.0,41427.0,38552.0,42756.0,37781.0
260,43764.0,42325.0,41627.0,41605.0,0,46885.0,42293.0
261,47475.0,41373.0,43978.0,43075.0,55296.0,39040.0,39821.0
262,45556.0,46787.0,40931.0,39948.0,39109.0,39980.0,38963.0
263,39554.0,41714.0,45760.0,39748.0,41856.0,39558.0,40128.0
264,39617.0,42168.0,49444.0,40316.0,39030.0,41682.0,39634.0
265,0,40389.0,43478.0,42276.0,38335.0,38086.0,38586.0
266,41572.0,37860.0,44839.0,39335.0,44470.0,40830.0,46927.0
267,42548.0,36864.0,39080.0,42414.0,45430.0,38119.0,43171.0
268,44091.0,41511.0,42256.0,36864.0,43314.0,39335.0,52043.0
269,44492.0,42762.0,43064.0,42124.0,42955.0,41060.0,43172.0
270,42477.0,43732.0,37186.0,38071.0,0,40404.0,44339.0
271,44239.0,38279.0,38395.0,44592.0,44545.0,41699.0,0
272,46045.0,38086.0,0,44132.0,40001.0,40512.0,37449.0
273,48008.0,45016.0,42292.0,48392.0,38990.0,40455.0,46096.0
274,42633.0,44227.0,44675.0,44785.0,40748.0,40065.0,39524.0
275,52685.0,39986.0,40520.0,43209.0,38800.0,46431.0,39908.0
276,38279.0,42261.0,41059.0,42349.0,38928.0,41497.0,36864.0
277,40347.0,0,44158.0,38395.0,38570.0,40853.0,40114.0
278,41053.0,38900.0,39814.0,40126.0,42443.0,39686.0,44026.0
279,38581.0,46878.0,39030.0,39168.0,40972.0,0,45476.0
280,40906.0,42474.0,44239.0,38272.0,49279.0,57208.0,41627.0
281,41390.0,0,45650.0,41438.0,38580.0,44894.0,42837.0
282,42084.0,0,46300.0,41066.0,40695.0,57213.0,38058.0
283,43490.0,0,42522.0,39853.0,43508.0,40915.0,38395.0
284,42640.0,40889.0,39441.0,42417.0,39998.0,45163.0,40844.0
285,46244.0,44681.0,39355.0,45483.0,38495.0,42665.0,42130.0
286,45715.0,38289.0,39244.0,39422.0,43747.0,41200.0,39346.0
287,45851.0,39912.0,38560.0,41559.0,38256.0,38889.0,43387.0
288,41036.0,42157.0,41164.0,41525.0,0,39384.0,39969.0
289,39798.0,0,42903.0,45104.0,39652.0,38459.0,42015.0
