subop_in_bytes,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
301,172469991,134507112,67392204
302,172469991,134507112,67392204
303,172469991,134507112,67392204
304,172469991,134507112,67392204
305,172469991,134507112,67392204
306,172469991,134507112,67392204
307,172469991,134507112,67392204
308,172469991,134507112,67392204
309,172469991,134507112,67392204
310,172469991,134507112,67392204
311,Null,134507112,Null
