op_latency,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
146,0.496846,0.885711,0.49644,1.244065,2.198875,1.773195
147,0.391275,1.965499,0.878631,0.084062,0.134762,0.057977
148,0.087539,0.087545,0.081149,0.202775,0.123419,0.131295
149,0.165088,0.202889,0.148899,0.653729,0.54928,0.919266
150,1.274144,0.14703,0.40548,1.104346,1.782731,1.786693
151,1.813812,1.273042,1.637784,0.071068,0.067151,0.066582
152,0.112566,0.135132,0.124079,0.133777,0.19256,0.084705
153,0.144489,0.193047,0.164636,0.303356,0.232726,0.127545
154,0.257707,0.228507,0.200676,1.884071,0,1.176822
155,0.9867,1.14508,1.822007,0.118629,0.173287,0.100729
156,0.113081,0.174384,0.208832,0.097803,0.125245,0.069571
157,0.166319,0.161028,0.15825,0.21445,0.189781,0.180169
158,0.116152,0.166457,0.127486,0,0.334545,1.10407
159,1.807428,1.890107,1.811634,0.409106,0.833078,0.05897
160,0.104343,0.150419,0.133424,0.080564,0.085057,0.057026
161,0.151126,0.116283,0.08874,0.148557,0.142173,0.165348
162,0.179396,0.151572,0.164605,0,0.170639,0.107291
163,1.461615,1.484458,1.141221,1.019878,0.895258,1.886367
164,0.346745,1.437128,2.401589,0.081442,0.106852,0.070212
165,0.085049,0.076571,0.110692,0.155098,0.127245,0.144095
166,0.172763,0.169603,0.148854,0.286746,0.224008,0.182336
167,1.064106,1.065893,0.526586,1.232896,0,1.904684
168,0.17144,0.190751,0.390969,0.150925,0.172726,0.13304
169,0.0906,0.094725,0.071754,0.150472,0.104039,0.076889
170,0.18899,0.156896,0.156053,0.150084,0.147901,0.155335
171,0.408583,0.390863,0.193425,0,0,0.575574
172,0.410115,0.580788,1.163266,0.16838,0.242355,0.10629
173,0.08028,0.09964,0.098203,0.103199,0.092342,0.060423
174,0.169256,0.175492,0.194742,0.163279,0.147632,0.124084
175,0,0,0.607801,0.917243,0.407447,0.421131
176,1.740137,1.951005,1.819388,0.285405,0.468084,0.352353
177,0.076138,0.076467,0.096982,0.106219,0.074288,0.055665
178,0.140377,0.161299,0.183414,0.224104,0.172867,0.141026
179,0.300982,0.179519,0.288884,0.623765,0.345655,0.300677
180,1.143578,1.631441,1.690109,0.517523,1.171731,1.947547
181,0.094091,0.099099,0.108909,0.078731,0.063014,0.057299
182,0.148112,0.142766,0.170534,0.151486,0.144604,0.15189
183,0.597047,0.128503,0.200388,0.522056,0.244692,0.147837
184,1.375231,1.394269,0,1.362602,1.696635,1.77227
185,0.079285,0.077948,0.145727,0.123616,0.086453,0.095343
186,0.133809,0.159019,0.133919,0.152099,0.136258,0.160422
187,0.154611,0.212206,0.180012,0.532818,0.325513,0.096967
188,0,0.918982,0,0.881238,1.484538,1.116538
189,0.243617,0.080639,0.204716,0.077731,0.069702,0.061378
190,0.132523,0.141781,0.120892,0.121319,0.13392,0.167666
191,0.153173,0.142184,0.176864,0.233068,0.228816,0.387326
192,0,0,0,1.494269,0,0
193,0.254772,0.424057,0.676641,0.072518,0.152206,0.087127
194,0.089981,0.090772,0.088241,0.129679,0.164057,0.074593
195,0.122385,0.129858,0.146855,0.221194,0.19201,0.181993
196,0.214623,1.304981,0.617195,0,1.600626,0
197,1.517659,1.103617,1.953691,0.124402,0.100363,0.577122
198,0.092713,0.068281,0.225408,0.147412,0.118444,0.070757
