rxkB/s,node164,node165,node166
316,13625.5,5377.12,22549.5
317,20137.1,21695.2,23695.5
318,18883.6,17349.5,18163.2
319,22244.5,14332.7,17023.2
320,24667.9,13367.9,18233.6
321,22076.9,4459.12,19909.4
322,22508.9,5148.11,14873.5
323,19029.4,8576.69,24738.2
324,17697.8,9384.23,24402.3
325,16982.5,8980.9,17863.2
326,24046.4,8489.64,22105.4
327,24433.6,14178.0,26158.7
328,19376.7,15672.7,7349.36
329,18957.2,14859.6,18403.5
330,30388.5,9783.78,18124.0
331,19459.1,5474.89,18130.9
332,10621.4,10030.4,18175.8
333,21126.6,10614.4,22970.8
334,20464.3,18227.2,9335.93
335,30900.9,15538.5,10622.7
336,24824.0,18507.7,21033.1
337,25214.7,20695.6,18583.9
338,18138.9,12871.9,36962.9
339,12208.6,16382.4,7036.43
340,24058.9,18896.7,18385.0
341,23580.3,14147.6,17764.2
342,27384.6,20838.0,8988.23
343,22089.4,11024.6,17930.0
344,25605.1,11755.1,24184.4
345,27520.9,23466.3,16803.5
346,20918.0,10614.8,20940.1
347,26661.5,15850.5,23078.5
348,19382.4,12536.1,18919.2
349,16626.2,17608.5,8931.68
350,21226.1,13543.8,23732.6
351,27833.9,15258.3,7894.95
352,22027.3,4193.88,23552.4
353,19398.5,29088.8,10607.0
354,10153.3,22788.8,14141.8
355,15713.2,12364.2,22328.1
356,23948.6,24588.8,12904.0
357,21823.6,13896.1,8276.42
358,21850.1,11691.8,20308.5
359,15725.6,18099.4,20158.6
360,20412.4,5710.23,21015.7
361,18120.0,29536.1,20885.0
362,24847.9,14406.0,22594.4
363,21560.5,27312.8,16855.7
364,26957.3,24309.1,11907.0
365,11969.8,18660.4,19271.9
366,19397.7,26612.7,19786.3
367,17664.8,10585.7,16982.6
368,18400.7,13138.1,20250.7
369,27967.8,31556.0,26963.4
370,28259.9,13533.6,18412.9
371,18710.6,23630.6,13704.9
372,24138.9,19855.0,9521.26
373,13657.0,25396.6,21302.9
374,15173.1,11775.0,14674.1
375,19004.7,24046.5,18204.6
376,22321.3,9611.64,19507.5
377,23302.2,12761.0,20732.2
378,13925.4,21831.3,14439.5
379,21828.3,11590.6,20037.6
380,18268.9,24008.8,10085.9
381,16801.9,19822.4,13380.7
382,23201.8,25223.9,17538.7
383,25232.3,19409.8,20714.8
384,19054.8,13486.3,10828.8
385,23551.1,16814.1,15884.3
386,19293.9,22180.6,13673.1
387,22535.1,8844.3,16480.1
388,17866.5,19252.0,17906.9
389,22329.9,15042.0,18518.5
390,21998.6,14401.7,19286.1
391,6941.57,11541.6,14007.2
392,15996.1,5368.91,24615.7
393,20700.7,26663.8,17668.7
394,23116.8,16080.8,14114.1
395,1668.76,18121.9,10985.8
396,21.59,28240.6,6424.59
397,10.66,44.82,44.26
398,10.29,44.14,60.35
399,67.18,69.63,41.21
