journal_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
151,1264396688,870817550,1261187543,1349297122,1238752190,1435556361,1767622943
152,1268469196,878747486,1271985824,1360557351,1244319002,1449983263,1772109573
153,1273355728,882045991,1282400567,1371474908,1257714373,1460970783,1789608261
154,1275600656,907546828,1294433596,1395673344,1266769084,1475932949,1795716502
155,1291305576,908974707,1298922410,1409971344,1271262516,1479830183,1808009240
156,1305767141,908974707,1316781795,1431565601,1280220630,1484917632,1816977632
157,1309272853,913465830,1338140043,1453488611,1284714190,1490244844,1829418647
158,1314044592,922425230,1357332980,1465982696,1302674411,1496619950,1848400725
159,1325998105,926893263,1366781963,1477001818,1307155256,1508418034,1866361866
160,1331863120,926893263,1379695478,1488430218,1315891963,1520800541,1875343070
161,1343365370,938612782,1379695478,1493551685,1333349656,1531571939,1879834193
162,1345189374,947248876,1392061843,1508996644,1343032400,1535712292,1911191348
163,1350866188,953850504,1397626724,1520148229,1360632393,1552220380,1911191348
164,1358655816,957041469,1404572195,1528851126,1374350259,1565695143,1923114402
165,1372123525,967313595,1413172170,1540333428,1392406502,1572362368,1924661366
166,1378968577,971799181,1424604146,1548354865,1396899934,1586742354,1935660995
167,1381632180,980773579,1438012421,1555784487,1406541801,1602392246,1951556506
168,1396374648,989058903,1442495575,1562830571,1414861327,1610543489,1963852820
169,1403531848,994228476,1451468462,1573741135,1432219356,1617883001,1972901869
170,1407674510,1000742578,1455961894,1582445074,1437304479,1624306935,1982965967
171,1412551480,1013771130,1472764227,1590414684,1441797911,1633008565,1987515821
172,1419970599,1021130679,1487397671,1610293603,1446780112,1644835568,2000812059
173,1443287201,1023480838,1491888794,1614146413,1461061519,1655463082,2006673496
174,1452551330,1029937540,1505356631,1627403698,1473240615,1659955472,2020556244
175,1464332895,1034597121,1514315787,1636581595,1489849302,1666372534,2032722528
176,1474116292,1039892706,1527775182,1652994730,1495673389,1677880962,2044262129
177,1475345254,1055175183,1536858293,1668004785,1504652284,1688479284,2059202283
178,1488802460,1062065838,1546963003,1672495908,1512333330,1701465151,2064827828
179,1500923292,1070477616,1550224122,1675019214,1531570272,1722946204,2079469589
180,1520215275,1070617924,1558565746,1684877523,1540550209,1732857057,2090586914
