avgrq-sz,node164,node165,node166
332,405.263,543.015,582.205
333,530.1,291.84,176.425
334,576.04,292.855,556.845
335,378.973,310.37,315.075
336,351.647,315.075,303.905
337,401.4,603.755,544.52
338,204.867,288.18,618.1
339,618.13,303.555,298.385
340,506.087,292.855,487.875
341,201.297,622.275,604.6
342,381.017,284.885,603.915
343,578.693,303.42,547.365
344,629.877,578.09,322.81
345,570.073,299.705,267.905
346,203.927,287.055,300.735
347,204.86,190.455,605.41
348,210.05,589.895,587.685
349,618.06,277.47,315.075
350,569.88,292.855,287.92
351,117.38,299.795,301.855
352,407.033,623.755,294.15
353,194.833,607.87,277.53
354,397.417,234.94,292.82
355,416.83,113.5,571.775
356,191.373,622.375,302.905
357,202.37,607.895,315.075
358,572.897,586.68,287.79
359,480.293,288.615,303.555
360,606.15,612.91,289.76
361,571.283,555.74,320.0
362,0.0,618.185,306.265
363,403.157,542.705,304.84
364,412.42,582.23,583.505
365,397.607,555.04,307.29
366,572.99,556.125,580.465
367,0.0,626.3,632.0
368,328.307,618.63,606.135
369,398.377,591.765,605.81
370,618.353,598.425,316.0
371,563.487,299.805,555.37
372,175.86,303.49,521.275
373,204.873,583.415,301.23
374,202.37,602.755,244.92
375,412.407,291.975,0.0
376,596.14,298.45,278.935
377,527.05,635.075,309.2
378,185.01,605.665,521.465
379,352.677,604.335,304.13
380,607.467,298.935,548.45
381,630.15,544.945,280.245
382,559.677,274.865,532.47
383,0.0,581.335,314.18
384,397.583,540.845,303.555
385,369.96,498.24,609.405
386,412.32,275.81,304.125
387,572.497,315.735,278.51
388,138.407,570.245,308.445
389,195.213,315.075,587.445
390,535.24,280.255,571.255
391,621.18,292.215,304.665
392,391.04,579.3,582.12
393,363.78,630.15,326.975
394,213.333,624.265,609.77
395,202.057,585.71,545.01
396,0.0,291.605,315.075
397,189.01,0.0,284.1
398,354.873,0.0,0.0
399,0.0,0.0,0.0
