kbactive,node156,node157
191,48392.0,51716.0
192,47216.0,50548.0
193,47224.0,50540.0
194,47236.0,50552.0
195,47244.0,50560.0
196,47252.0,50568.0
197,48540.0,51868.0
198,47300.0,50592.0
199,47288.0,50600.0
200,47296.0,50612.0
201,47304.0,50624.0
202,47316.0,50636.0
203,51076.0,54344.0
204,48768.0,51880.0
205,47352.0,50680.0
206,47360.0,50688.0
207,47368.0,50696.0
208,47376.0,50704.0
209,47384.0,50716.0
210,48644.0,51904.0
211,47432.0,50736.0
212,47420.0,50744.0
213,47428.0,50756.0
214,47436.0,50772.0
215,47444.0,50788.0
216,55656.0,58888.0
217,47460.0,50952.0
218,47472.0,50820.0
219,47484.0,50832.0
220,47492.0,50840.0
221,47500.0,50848.0
222,47508.0,50856.0
223,48788.0,52064.0
224,47544.0,50900.0
225,47532.0,50888.0
226,47540.0,50896.0
227,47552.0,50908.0
228,47564.0,50916.0
229,59360.0,62716.0
230,47588.0,50936.0
231,47588.0,50948.0
232,47596.0,50960.0
233,47604.0,50968.0
234,47612.0,50984.0
235,48348.0,51748.0
236,48892.0,52276.0
237,47668.0,51028.0
238,47652.0,51032.0
239,47660.0,51040.0
240,47668.0,51048.0
241,47676.0,51056.0
242,59528.0,62908.0
243,47704.0,51100.0
244,47716.0,51100.0
245,47724.0,51108.0
246,47732.0,51128.0
247,47740.0,51136.0
248,48980.0,52376.0
249,48952.0,52348.0
250,47768.0,51180.0
251,47776.0,51172.0
252,47784.0,51180.0
253,47796.0,51192.0
254,47804.0,51196.0
255,49012.0,52412.0
256,47844.0,51236.0
257,47828.0,51220.0
258,47832.0,51228.0
259,47844.0,51248.0
260,47852.0,51256.0
261,54528.0,57568.0
262,48684.0,52340.0
263,47896.0,51288.0
264,47904.0,51296.0
265,47908.0,51304.0
266,47916.0,51316.0
267,47928.0,51324.0
268,49112.0,52608.0
269,47948.0,51360.0
270,47952.0,51360.0
271,47960.0,51368.0
272,47968.0,51376.0
273,47976.0,51388.0
274,60140.0,63164.0
275,48008.0,51424.0
276,48012.0,51436.0
277,48020.0,51444.0
278,48032.0,51456.0
279,48040.0,51464.0
280,48860.0,52508.0
281,49320.0,52684.0
282,48072.0,51500.0
283,48076.0,51500.0
284,48084.0,51512.0
285,48092.0,51520.0
286,48104.0,51536.0
287,59956.0,58516.0
288,48144.0,51556.0
289,48128.0,51572.0
290,48140.0,51584.0
291,48148.0,51596.0
292,48156.0,51612.0
293,49396.0,52824.0
294,49368.0,52876.0
295,48188.0,51656.0
296,48196.0,51664.0
297,48204.0,51668.0
298,48212.0,51676.0
299,48220.0,51688.0
300,60084.0,63536.0
301,48240.0,51724.0
302,48244.0,51716.0
303,48256.0,51728.0
304,48264.0,51748.0
305,48276.0,51756.0
306,49432.0,52912.0
307,49560.0,53044.0
308,48308.0,51800.0
309,48316.0,51804.0
310,48324.0,51816.0
311,48336.0,51828.0
312,48344.0,51836.0
313,49524.0,53048.0
314,48372.0,51856.0
315,48368.0,51864.0
316,48376.0,51868.0
317,48384.0,51880.0
318,48392.0,51888.0
319,53860.0,58088.0
320,49532.0,53164.0
321,48424.0,51928.0
322,48432.0,51936.0
323,48440.0,51944.0
324,48448.0,51956.0
325,48456.0,51968.0
326,49688.0,53148.0
327,48484.0,51988.0
328,48488.0,52000.0
329,48496.0,52012.0
330,48504.0,52020.0
331,48512.0,52028.0
332,60308.0,63824.0
333,48532.0,52072.0
334,48540.0,52056.0
335,48552.0,52068.0
336,48564.0,52080.0
337,48572.0,52096.0
338,49700.0,52940.0
339,49824.0,53388.0
340,48608.0,52148.0
341,48616.0,52136.0
342,48624.0,52144.0
343,48632.0,52164.0
344,48640.0,52172.0
345,50088.0,53532.0
346,48684.0,52212.0
347,48668.0,52204.0
348,48676.0,52212.0
349,48684.0,52224.0
350,48692.0,52232.0
351,51308.0,55160.0
352,49996.0,53592.0
353,48728.0,52272.0
354,48736.0,52288.0
355,48744.0,52296.0
356,48752.0,52304.0
357,48760.0,52316.0
358,60608.0,64184.0
359,48800.0,52348.0
360,48784.0,52348.0
361,48796.0,52360.0
362,48804.0,52368.0
363,48812.0,52376.0
364,50052.0,53536.0
365,50120.0,53584.0
366,48840.0,52440.0
367,48848.0,52428.0
368,48856.0,52436.0
369,48864.0,52452.0
370,48876.0,52468.0
371,50136.0,53736.0
372,48916.0,52488.0
373,48904.0,52500.0
374,48912.0,52516.0
375,48920.0,52524.0
376,48932.0,52536.0
377,53224.0,56800.0
378,50136.0,53732.0
379,48964.0,52568.0
380,48976.0,52568.0
381,48984.0,52588.0
382,48992.0,52596.0
383,49000.0,52604.0
384,50228.0,53896.0
385,49036.0,52660.0
386,49024.0,52648.0
387,49036.0,52660.0
388,49044.0,52668.0
389,49052.0,52680.0
390,58528.0,62208.0
391,49320.0,52712.0
392,49084.0,52708.0
393,49092.0,52716.0
394,47392.0,50996.0
395,47372.0,50980.0
396,47380.0,50988.0
397,48608.0,52196.0
398,48620.0,52196.0
399,59188.0,62796.0
