w/s,node164,node165,node166
290,25.6667,42.0,18.0
291,19.0,40.5,26.5
292,55.0,19.0,56.0
293,19.0,31.5,38.0
294,11.6667,27.5,20.5
295,39.0,70.0,38.5
296,17.3333,53.0,20.0
297,51.3333,13.0,31.5
298,28.0,34.5,20.0
299,6.66667,26.5,39.5
300,13.3333,54.5,44.5
301,31.0,36.0,7.5
302,55.3333,0.0,40.0
303,29.6667,19.0,16.5
304,0.0,14.0,21.5
305,8.66667,29.5,59.5
306,22.3333,36.5,26.5
307,19.3333,25.0,24.5
308,63.3333,31.0,45.0
309,2.66667,37.0,17.5
310,11.3333,41.0,26.5
311,13.6667,63.5,29.5
312,17.0,38.5,27.0
313,59.3333,26.5,53.5
314,17.6667,7.0,17.5
315,0.0,10.5,12.0
316,6.0,65.5,55.0
317,32.6667,41.5,18.0
318,46.6667,0.0,58.0
319,26.0,7.0,13.0
320,3.0,0.0,13.5
321,14.0,40.5,64.0
322,23.6667,24.0,21.0
323,39.3333,1.5,73.0
324,45.3333,11.0,30.5
325,20.0,18.5,19.5
326,13.3333,26.0,61.5
327,13.3333,29.0,31.0
328,20.0,43.0,5.0
329,76.0,0.0,40.0
330,4.33333,13.5,20.0
331,25.0,19.5,31.0
332,9.0,32.5,42.0
333,14.3333,30.0,24.0
334,57.0,7.0,59.0
335,34.3333,33.0,6.5
336,16.6667,6.5,13.5
337,27.0,58.5,45.5
338,13.3333,39.0,42.0
339,40.3333,13.5,37.5
340,35.3333,7.0,11.5
341,12.3333,32.67,23.5
342,17.6667,32.0,35.0
343,26.6667,34.5,40.5
344,25.3333,27.5,51.5
345,63.0,20.5,15.5
346,12.0,27.0,21.5
347,13.3333,5.5,30.5
348,8.66667,52.0,55.5
349,21.3333,23.5,6.5
350,67.3333,7.0,33.5
351,2.33333,20.5,10.5
352,24.0,29.0,35.0
353,5.33333,47.0,36.0
354,13.6667,44.0,7.0
355,64.0,11.0,55.5
356,16.6667,26.5,13.0
357,9.0,13.5,6.435
358,11.0,52.0,50.5
359,28.6667,35.5,13.5
360,33.3333,18.0,54.0
361,44.3333,9.5,3.0
362,0.0,57.5,37.0
363,23.6667,63.0,47.0
364,17.6667,18.0,44.5
365,13.6667,35.5,20.0
366,66.6667,11.5,35.0
367,0.0,37.5,7.0
368,15.6667,20.0,30.5
369,20.3333,58.5,71.5
370,34.6667,33.5,8.0
371,66.0,20.5,52.5
372,12.0,27.0,11.5
373,13.3333,42.0,34.0
374,9.0,42.5,52.5
375,17.6667,31.0,0.0
376,33.3333,15.5,45.0
377,42.6667,8.0,26.5
378,11.3333,24.5,27.0
379,13.0,64.0,45.5
380,18.0,31.0,23.0
381,17.3333,10.5,45.5
382,68.3333,42.0,10.5
383,0.0,26.5,11.0
384,13.6667,64.5,13.5
385,33.6667,28.0,43.5
386,22.0,32.0,14.0
387,70.0,7.5,31.0
388,3.0,34.0,22.0
389,4.66667,13.0,32.0
390,21.0,27.5,55.5
391,15.6667,32.5,12.0
392,34.3333,16.0,45.0
393,32.0,19.5,27.0
394,3.33333,36.5,17.5
395,10.0,57.5,53.5
396,0.0,30.5,6.5
397,19.6667,0.0,24.5
398,25.3333,0.0,0.0
399,0.0,0.0,0.0
