commitcycle_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
235,0,0.229665,0.258229,0.278017,0,0,0.223405
236,0,0,0,0,0.346671,0,0
237,0,0,0,0,0,0.279309,0
238,0.224412,0,0,0,0,0,0
239,0,0.210365,0,0,0,0,0.273116
240,0,0,0.268948,0.259249,0,0,0
241,0,0,0,0,0.291974,0,0
242,0,0,0,0,0,0.279586,0
243,0.232333,0.297885,0,0,0,0,0
244,0,0,0.247025,0.218711,0,0,0.301559
245,0,0,0,0,0.258737,0,0
246,0,0,0,0,0,0.234356,0
247,0.278104,0,0,0,0,0,0
248,0,0.258854,0.229242,0,0,0,0
249,0,0,0,0.222063,0,0,0.348497
250,0,0,0,0,0.273718,0,0
251,0.217575,0,0,0,0,0.276203,0
252,0,0.287808,0,0,0,0,0
253,0,0,0.248924,0.262803,0,0,0.289055
254,0,0,0,0,0,0,0
255,0,0,0,0,0.301879,0.269441,0
256,0.303772,0.220557,0,0,0,0,0
257,0,0,0.243153,0,0,0,0
258,0,0,0,0.247994,0,0,0.25873
259,0,0,0,0,0.282765,0,0
260,0.264167,0.237996,0,0,0,0.311663,0
261,0,0,0.184666,0,0,0,0
262,0,0,0,0.290482,0,0,0
263,0,0,0,0,0,0,0.284092
264,0.241917,0,0,0,0.303906,0.237502,0
265,0,0.268906,0,0,0,0,0
266,0,0,0.274319,0,0,0,0
267,0,0,0,0.302294,0,0,0.306068
268,0,0,0,0,0.334862,0,0
269,0.271976,0.20305,0,0,0,0.269031,0
270,0,0,0.243265,0,0,0,0
271,0,0,0,0,0,0,0
272,0,0,0,0.279343,0,0,0.246028
273,0.297698,0.257801,0,0,0.32037,0,0
274,0,0,0.337094,0,0,0.265915,0
275,0,0,0,0,0,0,0
276,0,0,0,0.258618,0,0,0.268607
277,0.277727,0,0,0,0.240387,0,0
278,0,0.279368,0,0,0,0.272211,0
279,0,0,0.29631,0,0,0,0
280,0,0,0,0,0,0,0
281,0,0,0,0.256706,0,0,0.309577
282,0.309528,0.275252,0,0,0.301349,0,0
283,0,0,0.238386,0,0,0.333896,0
284,0,0,0,0,0,0,0
285,0,0,0,0.253435,0,0,0.23613
286,0.319264,0.276093,0,0,0.264683,0,0
287,0,0,0.215415,0,0,0.19469,0
288,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0
290,0,0,0,0.279399,0,0,0.254696
291,0.292269,0.264233,0,0,0.259245,0,0
292,0,0,0.273214,0,0,0.269281,0
293,0,0,0,0,0,0,0
294,0,0,0,0.274022,0,0,0.25947
295,0.227776,0.240287,0,0,0.239585,0,0
296,0,0,0.27939,0,0,0,0
297,0,0,0,0,0,0.303314,0
298,0,0,0,0,0,0,0
299,0.281701,0.206027,0,0.285197,0,0,0.288675
300,0,0,0.236538,0,0.230736,0,0
301,0,0,0,0,0,0.310498,0
302,0,0,0,0,0,0,0
303,0.267397,0,0,0.237106,0,0,0.264107
304,0,0.261597,0.222723,0,0,0,0
305,0,0,0,0,0.240734,0.222155,0
306,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0
308,0.272581,0.235122,0,0.298357,0,0,0.285973
309,0,0,0.264436,0,0.26843,0,0
310,0,0,0,0,0,0.223874,0
311,0,0,0,0,0,0,0
312,0.410667,0.284951,0,0.282754,0,0,0
313,0,0,0.24682,0,0,0,0.286182
314,0,0,0,0,0.320422,0,0
315,0,0,0,0,0,0.249905,0
316,0,0,0,0,0,0,0
317,0.290743,0.288735,0,0.266115,0,0,0.302693
318,0,0,0.299469,0,0.261604,0,0
319,0,0,0,0,0,0.211392,0
320,0,0,0,0,0,0,0
321,0.325775,0.337486,0,0.291341,0,0,0
322,0,0,0.301986,0,0,0,0.300786
323,0,0,0,0,0.32194,0,0
324,0,0,0,0,0,0.254172,0
325,0.252284,0.212263,0,0,0,0,0
326,0,0,0.26069,0.292515,0,0,0.277678
327,0,0,0,0,0.29234,0,0
328,0,0,0,0,0,0.320984,0
329,0,0,0,0,0,0,0
330,0.318801,0.35218,0,0,0,0,0
331,0,0,0.230601,0.252653,0,0,0.271787
332,0,0,0,0,0.21378,0,0
333,0,0,0,0,0,0.280363,0
334,0.366555,0.349395,0,0,0,0,0
335,0,0,0.321171,0.315852,0,0,0
336,0,0,0,0,0.234887,0,0.260992
337,0,0,0,0,0,0.256401,0
338,0,0,0,0,0,0,0
339,0.304486,0.297538,0.237033,0,0,0,0
340,0,0,0,0.306787,0,0,0.22094
341,0,0,0,0,0.221128,0,0
342,0,0,0,0,0,0.265383,0
343,0.270243,0.252567,0,0,0,0,0
344,0,0,0.214549,0.275931,0,0,0
345,0,0,0,0,0.230045,0,0.254735
346,0,0,0,0,0,0.286933,0
347,0.287241,0.242508,0,0,0,0,0
348,0,0,0.264672,0,0,0,0
349,0,0,0,0.281576,0,0,0.285514
350,0,0,0,0,0.247592,0,0
351,0,0,0,0,0,0.288003,0
352,0.304586,0.294715,0.314379,0,0,0,0
353,0,0,0,0.22741,0,0,0
354,0,0,0,0,0.259984,0,0.331734
355,0,0,0,0,0,0,0
356,0.262455,0.288355,0,0,0,0.274333,0
357,0,0,0.236885,0,0,0,0
358,0,0,0,0.289261,0,0,0.279119
359,0,0,0,0,0.238795,0,0
360,0.282827,0.301745,0,0,0,0.266496,0
361,0,0,0.335251,0,0,0,0
362,0,0,0,0.301766,0,0,0
363,0,0,0,0,0.275309,0,0.266984
364,0,0,0,0,0,0,0
365,0.251966,0.275902,0.262189,0,0,0.29422,0
366,0,0,0,0,0,0,0
367,0,0,0,0.318476,0,0,0.261779
368,0,0,0,0,0.316454,0,0
369,0.307538,0.297442,0,0,0,0.269644,0
370,0,0,0.260738,0,0,0,0
371,0,0,0,0,0,0,0
372,0,0,0,0.31308,0,0,0.274257
373,0.264533,0.268013,0,0,0.258986,0,0
374,0,0,0.268789,0,0,0.280603,0
375,0,0,0,0,0,0,0
376,0,0,0,0.239036,0,0,0
377,0,0,0,0,0.277391,0,0.249709
378,0.320217,0.340004,0.28405,0,0,0.28353,0
379,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0
381,0,0,0,0.300863,0,0,0.24729
