op_r_out_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
109,246,832,1113,Null,Null,1130,262
110,246,832,1113,Null,Null,1130,262
111,246,832,1113,Null,Null,1130,262
112,246,832,1113,Null,Null,1130,262
113,246,832,1113,Null,Null,1130,262
114,246,832,1113,Null,Null,1130,262
115,246,832,1113,Null,Null,1130,262
116,246,832,1113,Null,Null,1130,262
117,246,832,1113,Null,Null,1130,262
118,246,832,1113,Null,Null,1130,262
119,246,832,1113,Null,Null,1130,262
120,246,832,1113,Null,Null,1130,262
121,246,832,1113,Null,Null,1130,262
122,246,832,1113,Null,Null,1130,262
123,246,832,1113,Null,Null,1130,262
124,246,832,1113,Null,Null,1130,262
125,246,832,1113,Null,Null,1130,262
126,246,832,1113,Null,Null,1130,262
127,246,832,1113,Null,Null,1130,262
128,246,832,1113,Null,Null,1130,262
129,246,832,1113,Null,Null,1130,262
130,246,832,1113,Null,Null,1130,262
131,246,832,1113,Null,Null,1130,262
132,246,832,1113,Null,Null,1130,262
133,246,832,1113,Null,Null,1130,262
134,246,832,1113,Null,Null,1130,262
135,246,832,1113,Null,Null,1130,262
136,246,832,1113,Null,Null,1130,262
137,246,832,1113,Null,Null,1130,262
138,246,832,1113,Null,Null,1130,262
139,246,832,1113,Null,Null,1130,262
140,246,832,1113,Null,Null,1130,262
141,246,832,1113,Null,Null,1130,262
142,246,832,1113,Null,Null,1130,262
143,246,832,1113,Null,Null,1130,262
144,246,832,1113,Null,Null,1130,262
145,246,832,1113,Null,Null,1130,262
146,246,832,1113,Null,Null,1130,262
147,246,832,1113,Null,Null,1130,262
148,246,832,1113,Null,Null,1130,262
149,246,832,1113,Null,Null,1130,262
150,246,832,1113,Null,Null,1130,262
151,Null,Null,Null,Null,Null,1130,262
152,Null,Null,Null,Null,Null,1130,262
153,Null,Null,Null,Null,Null,1130,262
154,Null,Null,Null,Null,Null,1130,262
155,Null,Null,Null,Null,Null,1130,262
156,Null,Null,Null,Null,Null,1130,262
157,Null,Null,Null,Null,Null,1130,262
158,Null,Null,Null,Null,Null,1130,262
159,Null,Null,Null,Null,Null,1130,262
160,Null,Null,Null,Null,Null,1130,262
161,Null,Null,Null,Null,Null,1130,262
162,Null,Null,Null,Null,Null,1130,262
163,Null,Null,Null,Null,Null,1130,262
164,Null,Null,Null,Null,Null,1130,262
165,Null,Null,Null,Null,Null,1130,262
166,Null,Null,Null,Null,Null,1130,262
167,Null,Null,Null,Null,Null,1130,262
168,Null,Null,Null,Null,Null,1130,262
169,Null,Null,Null,Null,Null,1130,262
170,Null,Null,Null,Null,Null,1130,262
171,Null,Null,Null,Null,Null,1130,262
172,Null,Null,Null,Null,Null,1130,262
173,Null,Null,Null,Null,Null,1130,262
174,Null,Null,Null,Null,Null,1130,262
175,Null,Null,Null,Null,Null,1130,262
176,Null,Null,Null,Null,Null,1130,262
177,Null,Null,Null,Null,Null,1130,262
178,Null,Null,Null,Null,Null,1130,262
179,Null,Null,Null,Null,Null,1130,262
180,Null,Null,Null,Null,Null,1130,262
181,Null,Null,Null,Null,Null,1130,262
182,Null,Null,Null,Null,Null,1130,262
183,Null,Null,Null,Null,Null,1130,262
184,Null,Null,Null,Null,Null,1130,262
185,Null,Null,Null,Null,Null,1130,262
186,Null,Null,Null,Null,Null,1130,262
187,Null,Null,Null,Null,Null,1130,262
188,Null,Null,Null,Null,Null,1130,262
