stat_bytes_used,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
68,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
69,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
70,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
71,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
72,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
73,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
74,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
75,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
76,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
77,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
78,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
79,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
80,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
81,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
82,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
83,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
84,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
85,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
86,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
87,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
88,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
89,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
90,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
91,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
92,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
93,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
94,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
95,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
96,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
97,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
98,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
99,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
