op_latency,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
116,2.230344,1.1789,1.537926
117,0.124653,0.105518,0.162534
118,0.158307,0.147959,0.186582
119,0.168141,0.172948,0.181599
120,1.994306,0,0
121,0.306683,0.6598,0.437538
122,0.112845,0.079305,0.082178
123,0.130318,0.115201,0.132537
124,0.352434,0.283333,0.140658
125,0,0,0
126,0.167791,0.2803,0.194176
127,0.139345,0.129668,0.098232
128,0.167484,0.15578,0.157691
129,1.696272,0,1.672527
130,0.191369,0.304831,0.380997
131,0.092062,0.086512,0.087537
132,0.139848,0.171225,0.18496
133,0,0,0
134,0.88158,1.640356,1.872357
135,0.080336,0.11582,0.13353
136,0.143891,0.12827,0.169612
137,0.901351,0.895949,0
138,1.189311,1.390941,2.433537
139,0.065091,0.077354,0.083524
140,0.130338,0.127865,0.154954
141,0.211581,0.085372,0.167774
142,2.230446,1.761556,0
143,0.172016,0.382429,0.525644
144,0.096404,0.088986,0.082933
145,0.225103,0.240896,0.193218
146,0.496846,0.885711,0.49644
147,0.391275,1.965499,0.878631
148,0.087539,0.087545,0.081149
149,0.165088,0.202889,0.148899
150,1.274144,0.14703,0.40548
151,1.813812,1.273042,1.637784
152,0.112566,0.135132,0.124079
153,0.144489,0.193047,0.164636
154,0.257707,0.228507,0.200676
155,0.9867,1.14508,1.822007
156,0.113081,0.174384,0.208832
157,0.166319,0.161028,0.15825
158,0.116152,0.166457,0.127486
159,1.807428,1.890107,1.811634
160,0.104343,0.150419,0.133424
161,0.151126,0.116283,0.08874
162,0.179396,0.151572,0.164605
163,1.461615,1.484458,1.141221
164,0.346745,1.437128,2.401589
165,0.085049,0.076571,0.110692
166,0.172763,0.169603,0.148854
167,1.064106,1.065893,0.526586
168,0.17144,0.190751,0.390969
169,0.0906,0.094725,0.071754
170,0.18899,0.156896,0.156053
171,0.408583,0.390863,0.193425
172,0.410115,0.580788,1.163266
173,0.08028,0.09964,0.098203
174,0.169256,0.175492,0.194742
175,0,0,0.607801
176,1.740137,1.951005,1.819388
177,0.076138,0.076467,0.096982
178,0.140377,0.161299,0.183414
179,0.300982,0.179519,0.288884
180,1.143578,1.631441,1.690109
181,0.094091,0.099099,0.108909
182,0.148112,0.142766,0.170534
183,0.597047,0.128503,0.200388
184,1.375231,1.394269,0
185,0.079285,0.077948,0.145727
186,0.133809,0.159019,0.133919
187,0.154611,0.212206,0.180012
188,0,0.918982,0
189,0.243617,0.080639,0.204716
190,0.132523,0.141781,0.120892
191,0.153173,0.142184,0.176864
192,0,0,0
193,0.254772,0.424057,0.676641
194,0.089981,0.090772,0.088241
195,0.122385,0.129858,0.146855
196,0.214623,1.304981,0.617195
197,1.517659,1.103617,1.953691
198,0.092713,0.068281,0.225408
199,0.1291,0.129949,0.124644
200,0.301948,0.169368,0.12673
201,1.898165,1.702233,1.864404
202,0.101378,0.092671,0.102939
203,0.162085,0.154937,0.124861
204,0.169536,0.203266,0.186604
205,0,0.333804,0.32513
206,0.174506,0.16315,0.244584
207,0.146597,0.152967,0.095042
208,0.263738,0.283422,0.208913
209,1.098939,0,1.6568
210,0.099402,0.160913,0.13835
211,0.158911,0.176403,0.239586
212,0.114043,0.107062,0.126383
213,1.496591,0,1.478596
214,0.3145,0.470189,0.326697
215,0.078407,0.082174,0.077027
216,0.15574,0.1227,0.119053
217,1.271405,0.55429,0
218,0.131021,0.196887,0.814705
219,0.153449,0.110975,0.075916
220,0.143828,0.109839,0.135689
221,0.454757,0.506805,0.244361
222,1.604607,2.261288,1.944227
223,0.075086,0.136987,0.132825
224,0.128662,0.113116,0.136069
225,0.964283,0,0.095117
226,1.56288,1.458599,0
227,0.150032,0.097877,0.214818
228,0.123057,0.142778,0.105597
229,0.287628,0.238543,0.192105
230,1.56001,1.566686,1.38546
231,0.109879,0.089075,0.14435
232,0.261072,0.084019,0.192987
233,0.169826,0.174552,0.109504
234,0,0.536961,0.528982
235,0.121748,0.232537,0.147816
236,0.107547,0.10065,0.119524
237,0.14436,0.134424,0.125404
238,1.681313,0,0
239,0.203437,0.16138,0.17077
240,0.147343,0.157057,0.170915
241,0.150814,0.114804,0.151385
242,0,0,0.201765
243,0.15654,0.459044,0.945619
244,0.105162,0.081482,0.072987
245,0.143307,0.11295,0.11852
246,0,0,0.23784
247,1.88434,2.207136,1.416971
248,0.173865,0.099515,0.142879
249,0.103172,0.122095,0.134888
250,0.773395,0.140004,0.096089
251,0,2.116072,0
252,0.120252,0.076814,0.233589
253,0.137701,0.133211,0.13212
254,0.350564,0.154707,0.131304
255,1.976825,0,1.859861
256,0.114837,0.193341,0.134995
257,0.113341,0.11659,0.099713
258,0.119048,0.133666,0.132803
259,1.318235,0,0.137273
260,0.134035,0.202592,0.29672
261,0.105132,0.088844,0.078516
262,0.253929,0.215572,0.177536
263,0.204467,0.130427,0.148738
264,0.246064,2.097677,1.627737
265,0.102722,0.16244,0.107757
266,0.105682,0.109189,0.136306
267,1.14516,0.175422,0.160648
268,0.293698,0.524516,0.611972
269,0.079958,0.084757,0.067948
270,0.123202,0.117931,0.1473
271,0.187945,0.15162,0.108907
272,1.316151,1.314741,1.108722
273,0.149496,0.191993,0.094722
274,0.210882,0.145019,0.128149
275,0.182154,0.25552,0.136834
276,1.74913,0,1.343637
277,0.118026,0.188828,0.144884
278,0.141772,0.118166,0.121598
279,0.117802,0.127343,0.13093
280,1.308331,0,2.185346
281,0.152885,0.145527,0.133402
282,0,0,0
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,0
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,0
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0
308,0,0,0
309,0,0,0
310,Null,0,Null
