op_w_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
212,0.01749,0,0.023534,0.008219,0,0.025595,0.026784
213,0.023489,0.02218,0.021436,0,0,0.016378,0.019573
214,0.014896,0,0.016505,0,0.024899,0.03159,0.016762
215,0.020718,0,0.007392,0.018924,0.023746,0.024582,0.007436
216,0.022242,0.031163,0.008605,0.01506,0.017907,0,0.019132
217,0.017012,0.028276,0.008426,0,0,0.019879,0.019473
218,0.013427,0.016265,0,0,0.024064,0.02021,0.021121
219,0,0,0.014034,0,0.015831,0.024642,0.030861
220,0,0.016861,0.020246,0,0.018137,0.027165,0.020931
221,0,0.020268,0.021968,0.015963,0.014915,0.033625,0.026983
222,0.021383,0,0,0.021192,0.021255,0,0.012392
223,0.022462,0,0.014432,0.019054,0.017754,0.011588,0.030224
224,0,0.025542,0.012282,0,0.018812,0,0
225,0,0.024531,0.014088,0,0.013156,0.024198,0
226,0.028409,0.022902,0.01779,0,0.015399,0.014605,0.01077
227,0.015173,0.029363,0.024377,0.028388,0.008676,0.027157,0.016951
228,0.020628,0.013407,0.01919,0.018658,0,0.01577,0.011782
229,0.022916,0.010741,0.019728,0.009982,0.021679,0.037603,0.020826
230,0.023334,0,0.018542,0.006924,0.019234,0.022313,0.017205
231,0.017877,0.021274,0.022364,0,0.022979,0.021476,0.018344
232,0.019769,0,0.016205,0,0.021401,0,0.014746
233,0.015633,0,0.018105,0.021542,0.014448,0.02121,0
234,0,0,0.026159,0.013848,0.020151,0.021374,0
235,0.012365,0,0.024759,0.022425,0.015849,0.017504,0
236,0.007141,0,0.01011,0.021437,0.02196,0.013303,0
237,0.022353,0.019507,0,0.007308,0.026157,0.021886,0.016096
238,0.023337,0.02281,0,0,0.012478,0.02579,0
239,0.025429,0.0198,0.019732,0,0.008687,0.007981,0.019942
240,0.016053,0,0.022562,0,0.020803,0.023883,0.021048
241,0.020684,0.023026,0.019814,0,0,0.01209,0.019983
242,0.015661,0,0.021167,0.007383,0,0.022028,0.023042
243,0.024638,0,0.0262,0,0.01996,0.020899,0.02062
244,0,0,0.045784,0,0.017594,0,0.021098
245,0,0.019251,0.020465,0.021261,0.022701,0.019199,0.023307
246,0.019941,0.022051,0.02788,0.021732,0,0,0.018551
247,0.016196,0.027005,0.02791,0.022847,0.020205,0.022841,0.021177
248,0.012899,0.024539,0.023096,0,0.016805,0.021447,0.018429
249,0.023291,0,0.009996,0,0.009663,0.01499,0.021312
250,0.034701,0.019334,0.014983,0.025506,0.020994,0.02394,0.024868
251,0.011143,0.019932,0.023496,0.017487,0.012756,0.024586,0.025132
252,0.012138,0,0,0,0.015399,0.028161,0.00892
253,0,0.020323,0.009379,0,0,0.027004,0.01741
254,0.019336,0,0.013824,0,0,0.021718,0.016204
255,0.012421,0.056903,0.020795,0,0.016595,0.021496,0.026162
256,0.016739,0.024629,0.023459,0,0,0.011312,0.024374
257,0.023972,0.0091,0.024069,0.008607,0.019689,0.020924,0.022806
258,0.02147,0,0.019372,0.02125,0,0.016719,0.029805
259,0.022864,0.011519,0.01633,0.006987,0,0.011921,0
260,0.024909,0,0.026901,0.025411,0,0.016205,0
261,0.00831,0.02221,0.020276,0.035765,0,0,0.023346
262,0.013447,0.026557,0.020647,0.020546,0.022602,0,0.024434
263,0.021338,0,0.021905,0.023132,0.019617,0.022267,0.01975
264,0.014859,0.006743,0.019295,0.018346,0.018222,0,0
265,0,0.02167,0.028748,0.015688,0,0,0
266,0.016196,0.022375,0.021618,0.017482,0.011923,0.01181,0.01603
267,0.019275,0,0.02556,0.017352,0.016787,0,0.017064
268,0.025398,0.020666,0.016186,0,0.018404,0.007798,0
269,0,0.023292,0.019399,0.02308,0.016157,0.018123,0.018747
270,0.016661,0.01347,0.021038,0.030452,0,0.013484,0.034827
271,0.015605,0.021678,0.009305,0,0.019451,0.01962,0
272,0.022705,0,0,0,0,0.020778,0.023468
273,0.01929,0.026118,0.016201,0.009117,0,0.035574,0.020531
274,0.017893,0.02071,0.019322,0.007805,0.014937,0.024464,0.021289
275,0.008626,0.019149,0.018514,0.012883,0.018052,0.011618,0.007944
276,0.025081,0.012142,0.008523,0.024747,0.012517,0.014924,0
277,0.024399,0,0.009553,0.027445,0.021513,0.0203,0.016706
278,0,0.019737,0.015579,0.011717,0,0.026494,0.013118
279,0,0.023648,0.023588,0,0.016411,0,0.010933
280,0.021494,0.022793,0.016472,0.032698,0.01136,0.008652,0.007284
281,0.025509,0,0.018724,0.020356,0,0.033677,0.018213
282,0.017168,0,0.026436,0.022643,0,0.023519,0.022854
283,0.024486,0,0.013822,0,0.018887,0.023929,0.022052
284,0.017474,0.022239,0.023432,0.020451,0,0.018005,0.018438
285,0.020586,0.014559,0.022748,0.019012,0,0.014361,0
286,0,0,0.027231,0,0.013115,0.018826,0.013667
287,0.012628,0.018987,0.018344,0.017642,0.019795,0.022916,0.017937
288,0,0.018068,0.016774,0.006721,0,0,0.019755
289,0,0,0.007876,0,0,0.020986,0
290,0.019971,0.022573,0,0,0.01196,0.023584,0.015726
291,0.023325,0.008339,0.027564,0.017847,0,0.020783,0.0143
292,0,0.01554,0.015341,0,0.014302,0.023104,0.025931
293,0.027285,0,0.019605,0.015853,0,0.008324,0.014873
294,0.020399,0.0247,0.015829,0,0,0.025415,0.021162
295,0.016683,0.009994,0.018895,0,0.010619,0.012695,0
296,0.01462,0.023173,0.017272,0,0,0.024111,0
297,0.009922,0.009612,0.016548,0.01427,0.014618,0.025394,0.007134
298,0,0.030056,0.01658,0,0,0.02243,0.015994
299,0.02372,0.014613,0.025527,0.010367,0.021779,0.024591,0.024431
300,0.020152,0,0.019123,0.023153,0.022025,0.012067,0.010629
301,0.011718,0,0.015008,0.02082,0,0,0.015743
302,0.023519,0,0.016898,0.014739,0,0.022459,0.021499
303,0.020149,0,0.019423,0.026751,0.014228,0.022482,0.018301
304,0.017276,0,0,0.02209,0.017404,0.018448,0.012378
305,0.016444,0.015068,0,0.022723,0.024852,0.015608,0
306,0.017623,0.025243,0,0,0.011813,0.025988,0
307,0.022552,0.02702,0.016148,0.020383,0.012559,0.014398,0
308,0.014111,0.020415,0,0,0.011698,0.016233,0.022085
309,0.012261,0,0.025965,0.018406,0,0.021722,0.01731
310,0.026579,0,0.030828,0,0.00628,0.011307,0.023004
311,0.011487,0,0.014831,0,0.021204,0.021839,0
312,0,0.022612,0.015894,0.024045,0.019971,0.022125,0.025841
313,0.024606,0.023113,0.023103,0,0,0.021281,0.00904
314,0.024186,0.017427,0.017619,0,0.014492,0.020931,0.042579
315,0.010176,0.021097,0.024035,0,0.018396,0,0.031322
316,0.019447,0,0,0.009259,0.027969,0.021622,0.02136
317,0.024231,0.021024,0.019344,0.02098,0,0.019688,0.018677
318,0.026713,0.022274,0.020377,0,0.022518,0.024883,0.016457
319,0.012345,0,0.027424,0,0.010762,0.01573,0.022478
320,0,0,0.015399,0,0.016732,0.028257,0.020911
321,0.023252,0.025382,0.022902,0.019906,0.021343,0.017066,0.011942
322,0.022536,0,0.02376,0.021478,0.008201,0.023141,0.020609
323,0.0098,0.021634,0.021894,0,0.02691,0.035467,0
324,0.023323,0.015959,0.02276,0,0,0.025975,0.014854
325,0.019499,0.025159,0.02605,0,0,0.017146,0.024907
326,0.021242,0,0.017639,0,0.025917,0.023824,0.021851
327,0.021068,0.021242,0.017177,0,0.021655,0.013222,0.018991
328,0.014127,0,0.02236,0.016423,0.050972,0.016551,0.018929
329,0.007628,0.021095,0.021269,0.038991,0,0.013359,0.019977
330,0.022445,0.047235,0.036724,0.021843,0,0.011379,0
331,0.02217,0,0.02034,0.021244,0,0.010915,0
332,0.021064,0.016997,0.011024,0,0,0,0.023851
333,0,0.023887,0.016144,0.008007,0.022892,0.020895,0.022049
334,0.027845,0.007946,0.01489,0.015476,0.02517,0,0.016479
335,0.013749,0,0.017055,0.019228,0.014613,0,0
336,0.017228,0.019096,0.022963,0,0,0.013935,0
337,0,0.018632,0.019402,0.01942,0.013444,0.019582,0.014727
338,0.037445,0,0.021605,0.02122,0.018077,0.009466,0.024506
339,0.027355,0.022892,0.015782,0.01986,0.018884,0,0
