op_w_process_latency,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
177,0.07312,0.07434,0.094288,0.102997,0.071304,0.052869
178,0.138606,0.159134,0.181024,0.223188,0.169133,0.139573
179,0.300296,0.177174,0.286479,0.615771,0.340764,0.29232
180,1.141155,1.629946,1.689658,0.514128,1.16774,1.946103
181,0.091934,0.096701,0.105801,0.076073,0.060253,0.054107
182,0.146085,0.139679,0.167489,0.148759,0.141152,0.148267
183,0.594966,0.127357,0.197145,0.519725,0.242942,0.144373
184,1.37379,1.390384,0,1.464968,1.694415,1.769541
185,0.076617,0.074994,0.140554,0.120048,0.083199,0.091846
186,0.131719,0.156544,0.130087,0.14977,0.133302,0.158314
187,0.152557,0.209036,0.177674,0.52747,0.321613,0.092501
188,0,0.917925,0,0.878124,1.482428,1.113126
189,0.240812,0.078565,0.202016,0.074519,0.065278,0.058914
190,0.130274,0.140159,0.118851,0.118829,0.129576,0.165523
191,0.15085,0.140078,0.174177,0.231244,0.224818,0.384289
192,0,0,0,1.605019,0,0
193,0.251171,0.420536,0.672996,0.068237,0.149139,0.084575
194,0.08714,0.088693,0.084943,0.128007,0.159867,0.072698
195,0.119606,0.127333,0.143936,0.216367,0.187041,0.179253
196,0.211547,1.302653,0.615132,0,1.598852,0
197,1.514175,1.102938,1.951938,0.121123,0.096824,0.574271
198,0.089516,0.065231,0.221521,0.144305,0.116142,0.068819
199,0.124868,0.126359,0.121665,0.114156,0.120518,0.120961
200,0.298875,0.16639,0.123755,0,0.751209,0
201,1.897274,1.701529,1.862884,0.327822,0.208715,0.193483
202,0.0984,0.090166,0.100294,0.093723,0.069566,0.074269
203,0.159986,0.152939,0.122305,0.124179,0.155687,0.089595
204,0.167009,0.199986,0.183664,0.853687,0.370814,0.106855
205,0,0.333141,0.323658,0.675246,1.393277,0
206,0.170982,0.158838,0.242188,0.061814,0.060969,0.114686
207,0.142759,0.150234,0.089362,0.128596,0.114334,0.159508
208,0.26279,0.281463,0.206846,0.399503,0.352894,0.417403
209,1.09799,0,1.652379,1.849779,0,0
210,0.095971,0.157967,0.135631,0.077738,0.178969,0.047027
211,0.156301,0.173713,0.236905,0.116676,0.127158,0.116159
212,0.111126,0.104147,0.123575,0.263388,0.254434,0.230237
213,1.483148,0,1.477313,0.875647,0.550548,0.442969
214,0.312364,0.466607,0.324519,0.213616,0.197764,0.142312
215,0.075643,0.079818,0.074535,0.188946,0.08941,0.072952
216,0.152199,0.12002,0.116274,0.104755,0.121772,0.142326
217,1.267711,0.553749,0,0.196536,0,0.11674
218,0.127223,0.194452,0.812917,0.264453,0.836419,1.969957
219,0.149901,0.10781,0.072629,0.06837,0.075084,0.063611
220,0.138222,0.107822,0.132447,0.113756,0.125043,0.110755
221,0.448373,0.505142,0.237918,0.164257,0.165249,0.100684
222,1.602311,2.261086,1.937888,1.588718,0,1.236007
223,0.072153,0.133722,0.129762,0.085227,0.204852,0.069786
224,0.125819,0.111423,0.133639,0.160378,0.131723,0.206148
225,0.962227,0,0.093412,0.164087,0.135697,0.105175
226,1.562182,1.456128,0,1.796584,0,0
227,0.147345,0.095814,0.211706,0.240235,0.200073,0.536287
228,0.120723,0.140283,0.102576,0.080337,0.063245,0.063545
229,0.284987,0.236053,0.190089,0.119336,0.138225,0.102207
230,1.558249,1.564946,1.384058,1.112064,1.077435,0
231,0.106615,0.086027,0.139959,0.354304,0.228704,3.108345
232,0.258926,0.081944,0.190555,0.061601,0.060526,0.065859
233,0.165676,0.172137,0.106277,0.131172,0.121568,0.15939
234,0,0.53096,0.52707,0.249375,0.231653,0.146572
235,0.117769,0.228554,0.14445,1.078013,0.987994,0
236,0.104589,0.098273,0.116878,0.051249,0.060357,0.065064
237,0.139224,0.132258,0.122811,0.250061,0.233965,0.244511
238,1.680224,0,0,0.109566,0.174164,0.128947
239,0.200331,0.158997,0.16723,0.611799,0,0
240,0.144429,0.155116,0.167188,0.07038,0.121554,0.134272
241,0.147831,0.112054,0.148375,0.120087,0.109468,0.096887
242,0,0,0.199484,0.149124,0.128076,0.092855
243,0.152504,0.456495,0.944239,1.654447,0,0
244,0.102956,0.078514,0.069329,0.104361,0.102477,0.09952
245,0.140834,0.111461,0.115623,0.138915,0.116656,0.164284
246,0,0,0.235964,0.17474,0.12467,0.105533
247,1.882614,2.20031,1.412143,1.791913,1.378535,0
248,0.170829,0.097215,0.13996,0.123209,0.378463,0.178394
249,0.100852,0.118354,0.132718,0.095244,0.064515,0.049797
250,0.76796,0.137635,0.094219,0.155236,0.119925,0.137427
251,0,2.11405,0,0,0.237293,0.051679
252,0.117358,0.074984,0.230415,1.551106,1.577667,0
253,0.135267,0.129974,0.128898,0.067867,0.11383,0.099856
254,0.348106,0.151408,0.128903,0.132355,0.143623,0.177806
255,1.975703,0,1.858791,0.066878,0.194289,0.135851
256,0.112263,0.189882,0.132436,0,2.35753,0
257,0.110111,0.114183,0.096692,0.189262,0.057713,0.347524
258,0.116512,0.131471,0.130122,0.135808,0.11454,0.105769
259,1.314647,0,0.13413,0.138489,0.157792,0.148116
260,0.130937,0.199834,0.293733,1.444725,0.834967,0
261,0.101985,0.086213,0.07486,0.073074,0.359062,0.279012
262,0.252642,0.213715,0.174455,0.077578,0.07831,0.048291
263,0.203567,0.127305,0.146828,0.11043,0.122148,0.118712
264,0.243621,2.095913,1.624351,0.775436,0.113644,0.118177
265,0.098977,0.160705,0.105063,0.436911,1.167835,2.285
266,0.102841,0.107284,0.133316,0.066988,0.130541,0.078216
267,1.135956,0.172668,0.158301,0.211839,0.142051,0.114262
268,0.291452,0.522464,0.609963,0.161405,0.231909,0.163241
269,0.077086,0.081987,0.065,0.29844,0,2.086845
270,0.121084,0.116167,0.143755,0.058874,0.185321,0.055945
271,0.183063,0.149086,0.105589,0.200682,0.206421,0.113086
272,1.315083,1.308843,1.105645,0.103625,0.121489,0.091696
273,0.145402,0.189105,0.090735,1.045507,0,0
274,0.208221,0.141944,0.125078,0.06196,0.15262,0.293315
275,0.179418,0.253788,0.133588,0.106945,0.089128,0.088563
276,1.748755,0,1.342,0.109381,0.118047,0.103017
277,0.116149,0.186674,0.14081,1.01612,0,1.280742
278,0.13787,0.116081,0.118644,0.103703,0.368187,0.214936
279,0.114362,0.124516,0.12659,0.119854,0.077734,0.06036
280,1.307437,0,2.18028,0.142685,0.141056,0.110375
281,0.150282,0.142437,0.129905,1.219565,0.77186,0.70924
282,0,0,0,0.147278,0.171301,0.070701
283,0,0,0,0.130774,0.099869,0.054556
284,0,0,0,0.150459,0.129781,0.111123
285,0,0,0,1.668558,1.206169,0.759561
286,0,0,0,0.091307,0.315745,0.361478
287,0,0,0,0,0.057587,0.042041
288,0,0,0,0,0,0
289,0,0,0,0,0,0
290,0,0,0,0,0,0
291,0,0,0,0,0,0
292,0,0,0,0,0,0
