op_rw_in_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
115,89,17,17,Null,Null,411,17
116,89,17,17,Null,Null,411,17
117,89,17,17,Null,Null,411,17
118,89,17,17,Null,Null,411,17
119,89,17,17,Null,Null,411,17
120,89,17,17,Null,Null,411,17
121,89,17,17,Null,Null,411,17
122,89,17,17,Null,Null,411,17
123,89,17,17,Null,Null,411,17
124,89,17,17,Null,Null,411,17
125,89,17,17,Null,Null,411,17
126,89,17,17,Null,Null,411,17
127,89,17,17,Null,Null,411,17
128,89,17,17,Null,Null,411,17
129,89,17,17,Null,Null,411,17
130,89,17,17,Null,Null,411,17
131,89,17,17,Null,Null,411,17
132,89,17,17,Null,Null,411,17
133,89,17,17,Null,Null,411,17
134,89,17,17,Null,Null,411,17
135,89,17,17,Null,Null,411,17
136,89,17,17,Null,Null,411,17
137,89,17,17,Null,Null,411,17
138,89,17,17,Null,Null,411,17
139,89,17,17,Null,Null,411,17
140,89,17,17,Null,Null,411,17
141,89,17,17,Null,Null,411,17
142,89,17,17,Null,Null,411,17
143,89,17,17,Null,Null,411,17
144,89,17,17,Null,Null,411,17
145,89,17,17,Null,Null,411,17
146,89,17,17,Null,Null,411,17
147,89,17,17,Null,Null,411,17
148,89,17,17,Null,Null,411,17
149,89,17,17,Null,Null,411,17
150,89,17,17,Null,Null,411,17
151,Null,Null,Null,Null,Null,411,17
152,Null,Null,Null,Null,Null,411,17
153,Null,Null,Null,Null,Null,411,17
154,Null,Null,Null,Null,Null,411,17
155,Null,Null,Null,Null,Null,411,17
156,Null,Null,Null,Null,Null,411,17
157,Null,Null,Null,Null,Null,411,17
158,Null,Null,Null,Null,Null,411,17
159,Null,Null,Null,Null,Null,411,17
160,Null,Null,Null,Null,Null,411,17
161,Null,Null,Null,Null,Null,411,17
162,Null,Null,Null,Null,Null,411,17
163,Null,Null,Null,Null,Null,411,17
164,Null,Null,Null,Null,Null,411,17
165,Null,Null,Null,Null,Null,411,17
166,Null,Null,Null,Null,Null,411,17
167,Null,Null,Null,Null,Null,411,17
168,Null,Null,Null,Null,Null,411,17
169,Null,Null,Null,Null,Null,411,17
170,Null,Null,Null,Null,Null,411,17
171,Null,Null,Null,Null,Null,411,17
172,Null,Null,Null,Null,Null,411,17
173,Null,Null,Null,Null,Null,411,17
174,Null,Null,Null,Null,Null,411,17
175,Null,Null,Null,Null,Null,411,17
176,Null,Null,Null,Null,Null,411,17
177,Null,Null,Null,Null,Null,411,17
178,Null,Null,Null,Null,Null,411,17
179,Null,Null,Null,Null,Null,411,17
180,Null,Null,Null,Null,Null,411,17
181,Null,Null,Null,Null,Null,411,17
182,Null,Null,Null,Null,Null,411,17
183,Null,Null,Null,Null,Null,411,17
184,Null,Null,Null,Null,Null,411,17
185,Null,Null,Null,Null,Null,411,17
186,Null,Null,Null,Null,Null,411,17
187,Null,Null,Null,Null,Null,411,17
188,Null,Null,Null,Null,Null,411,17
