wMB/s,node164,node165,node166
374,2.92,10.17,7.645
375,6.93,4.135,8.66
376,8.44667,9.82,9.695
377,6.12333,8.43,10.93
378,7.10667,7.215,6.6
379,6.02333,13.615,10.505
380,6.26333,6.825,5.425
381,4.14,12.585,6.755
382,7.85,8.11,8.185
383,8.50667,8.17,10.605
384,6.21667,10.065,5.525
385,7.94,9.325,7.46
386,7.10667,6.775,7.465
387,7.49667,6.63,7.67
388,5.83,8.64,9.54
389,7.75333,5.645,8.955
390,7.6,4.505,9.345
391,4.35,7.205,6.945
392,3.55,12.01,11.505
393,6.70667,6.725,10.37
394,6.53333,13.39,6.81
395,4.02333,7.6,5.315
396,0.0,0.0,3.675
397,0.0,0.0,0.0
398,0.0,0.0,0.0
399,0.0,0.0,0.0
