avgqu-sz,node164,node165,node166
320,0.07,0.0,0.51
321,0.51,3.35,5.605
322,0.933333,2.77,0.47
323,5.34,0.005,6.235
324,4.01667,0.28,0.825
325,0.613333,0.605,0.665
326,0.446667,1.08,5.555
327,0.503333,3.185,1.06
328,0.693333,3.925,0.125
329,7.05,0.0,3.3
330,0.0633333,0.575,0.735
331,0.81,0.675,1.145
332,0.336667,2.66,4.775
333,0.503333,3.585,0.88
334,7.44,0.2,4.47
335,3.44333,1.19,0.255
336,0.383333,0.255,0.49
337,0.99,5.15,7.62
338,0.463333,4.095,1.41
339,5.08667,0.53,4.39
340,3.08333,0.275,0.255
341,0.383333,1.285,0.92
342,0.536667,2.715,4.365
343,0.873333,3.335,1.475
344,0.806667,1.1,3.705
345,5.79667,0.68,0.565
346,0.356667,0.81,0.86
347,0.456667,0.125,1.02
348,0.296667,4.21,3.46
349,0.733333,2.205,0.22
350,5.96,0.22,4.495
351,0.02,0.695,0.43
352,0.87,1.115,0.915
353,0.19,5.16,4.015
354,0.486667,3.865,1.2
355,6.33333,0.245,4.65
356,1.67667,0.995,0.4
357,0.313333,0.475,0.225
358,0.403333,3.6,4.165
359,0.826667,4.73,1.42
360,3.36667,0.53,5.42
361,4.3,0.24,0.2
362,0.0,2.35,1.385
363,0.79,3.95,5.305
364,0.606667,1.44,2.97
365,0.486667,2.44,0.67
366,8.78667,0.335,2.815
367,0.0,1.125,0.235
368,0.31,0.68,1.01
369,0.686667,4.91,4.295
370,1.19333,3.24,0.28
371,8.37333,0.685,2.835
372,0.773333,0.92,0.27
373,0.503333,1.515,1.365
374,0.316667,2.84,4.31
375,0.67,4.365,0.7
376,2.60667,0.445,4.47
377,4.49333,0.335,0.93
378,0.273333,0.935,0.74
379,0.323333,4.385,5.65
380,0.696667,2.75,0.9
381,0.576667,0.335,4.255
382,5.96,1.745,0.42
383,0.0,1.075,0.365
384,0.486667,4.265,1.425
385,0.986667,0.885,4.315
386,0.83,4.36,0.73
387,7.53,0.23,3.32
388,0.0366667,1.14,0.83
389,0.143333,0.535,0.98
390,0.833333,2.335,3.775
391,0.37,4.17,0.405
392,3.43333,0.48,4.37
393,2.89667,0.69,0.795
394,0.14,1.34,0.65
395,0.323333,5.245,4.73
396,0.0,4.175,0.235
397,2.20667,0.0,2.51
398,2.08667,0.0,0.0
399,0.0,0.0,0.0
