apply_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
193,0.013982,0.009717,0.02091,0.007785,0.012282,0.010515,0.004295
194,0.017885,0.017664,0.015915,0.005702,0.010596,0.007783,0.008284
195,0.021568,0.024637,0.01571,0.018824,0.007471,0.016181,0.015247
196,0.016315,0.014068,0.014593,0.011987,0.009698,0.00949,0.020749
197,0.010968,0.007288,0.006812,0.005147,0.004062,0.004465,0
198,0.011212,0.016041,0.014393,0.007725,0.008093,0.008158,0.009432
199,0.005623,0.019684,0.011565,0.004474,0.003915,0.00548,0.016879
200,0.023008,0.015815,0.031792,0.008269,0.009733,0.012,0.007813
201,0.015015,0.014189,0.021904,0,0.004205,0.008617,0.005786
202,0.013296,0.005149,0.008814,0.00495,0.005712,0.006455,0.006513
203,0.008414,0,0.009455,0.005746,0.044396,0.007424,0.016012
204,0.010932,0.021958,0.024902,0.007455,0.007485,0.005988,0.019833
205,0.015134,0.015544,0.009724,0.006842,0.006431,0.011768,0.003885
206,0.020332,0,0.014197,0.004446,0.005234,0,0.004057
207,0.013308,0.006465,0.004134,0.009071,0.012357,0.02902,0.006734
208,0.024319,0.024018,0.02429,0.016157,0.008535,0.017584,0.013417
209,0.023921,0.021697,0.015367,0.00479,0.007426,0.003799,0.005109
210,0.021667,0.020283,0.012221,0.00495,0.005666,0.018985,0.008904
211,0.01723,0.004499,0.006222,0.003624,0.004063,0.005718,0.00445
212,0.014725,0.026195,0.012928,0.005015,0.006114,0.014347,0.014717
213,0.022535,0.015796,0.020301,0.02602,0.008777,0.011919,0.018031
214,0.011382,0,0.011762,0.006921,0.012504,0.017258,0.012555
215,0.004974,0,0.004949,0.016615,0.009395,0.003806,0.003799
216,0.012185,0.013855,0.004277,0.005256,0.008299,0.012134,0.008439
217,0.01376,0.022519,0.013646,0.010179,0.02555,0.016287,0.011608
218,0.003792,0.00886,0,0.013887,0.013382,0.019248,0.006706
219,0.011418,0,0.01174,0.006102,0.005703,0.004752,0.023436
220,0,0.004244,0.004438,0.00651,0.006348,0.009671,0.018378
221,0.018415,0.017805,0.020074,0.003951,0.006781,0.010239,0.010658
222,0.017998,0.018947,0.022075,0.011983,0.018377,0.01616,0.011237
223,0.007521,0,0.012339,0.008595,0.014553,0.004754,0.012992
224,0.014786,0.020022,0.008197,0.006781,0.010803,0.01607,0.008821
225,0.022992,0.020517,0.009062,0.005206,0.006505,0.003695,0.003809
226,0.017997,0.020448,0.014588,0.014316,0.018931,0.011461,0.007282
227,0.012894,0.026652,0.018751,0.007862,0.007557,0.012312,0.006951
228,0.004398,0.013642,0.016882,0.004052,0,0.0125,0.00898
229,0.009837,0.005884,0.009621,0.00657,0.005541,0.006686,0.009379
230,0.021711,0.007313,0.008885,0.007272,0.009757,0.016601,0.010797
