%util,node164,node165,node166
382,33.0333,18.85,5.35
383,0.0,13.0,5.4
384,6.26667,28.75,13.3
385,12.8333,11.8,20.85
386,10.2333,14.85,6.65
387,33.9,3.5,12.85
388,1.53333,15.65,10.35
389,2.0,6.85,14.4
390,10.0667,12.9,25.45
391,5.5,14.05,5.1
392,15.7,8.0,19.6
393,16.4667,8.8,9.55
394,1.7,17.35,8.0
395,4.36667,26.15,25.5
396,0.0,14.4,3.0
397,8.3,0.0,11.55
398,11.3333,0.0,0.0
399,0.0,0.0,0.0
